step,return,length,success
16384,1.8183341,169.66666666666666,1.0
32768,0.931876,287.125,1.0
49152,-0.8226334,502.5263157894737,1.0
65536,-4.263223,831.5,0.4393939393939394
81920,-3.9900393,802.4594594594595,0.47297297297297297
98304,-3.9343836,798.3333333333334,0.4880952380952381
114688,-3.8512492,790.4545454545455,0.5050505050505051
131072,-4.76525,871.46,0.33
147456,-4.366845,836.47,0.4
163840,-3.7535386,776.93,0.52
180224,-4.1097918,812.1,0.47
196608,-4.004142,796.23,0.45
212992,-3.593737,757.06,0.51
229376,-3.6873376,766.96,0.5
245760,-3.8214893,782.93,0.49
262144,-3.9968424,791.37,0.45
278528,-3.8180397,772.22,0.51
294912,-3.9146893,785.45,0.52
311296,-3.9949884,791.83,0.54
327680,-3.810588,771.9,0.56
344064,-3.466034,744.51,0.61
360448,-3.6582358,757.35,0.57
376832,-3.1118305,702.35,0.64
393216,-2.7428765,665.78,0.71
409600,-2.6744766,650.79,0.72
425984,-2.3074234,617.97,0.76
442368,-2.471275,632.25,0.73
458752,-2.377422,627.03,0.73
475136,-2.5996249,657.41,0.73
491520,-2.5611243,647.97,0.72
507904,-2.5125725,646.26,0.74
524288,-2.4099226,631.98,0.71
540672,-2.6225736,652.65,0.67
557056,-2.23502,617.9,0.72
573440,-2.0039694,590.57,0.74
589824,-1.9273696,576.71,0.74
606208,-1.713769,546.51,0.76
622592,-1.6483682,538.49,0.76
638976,-1.7367188,545.69,0.77
655360,-2.0869222,583.28,0.75
671744,-2.1556225,594.87,0.76
688128,-2.2455232,604.37,0.74
704512,-2.203421,606.38,0.77
720896,-2.2314208,608.41,0.75
737280,-2.3108206,620.84,0.76
753664,-2.564224,648.48,0.73
770048,-2.3756237,628.68,0.74
786432,-2.2675736,618.41,0.73
802816,-2.504326,643.37,0.7
819200,-2.6634264,658.84,0.68
835584,-3.3230832,716.96,0.58
851968,-2.942328,678.2,0.65
868352,-2.5698764,635.49,0.67
884736,-1.8407685,575.64,0.79
901120,-1.580266,551.18,0.82
917504,-1.8585681,581.38,0.8
933888,-1.7407173,563.32,0.79
950272,-2.0845215,592.61,0.73
966656,-1.8895203,569.09,0.74
983040,-2.0032206,579.62,0.73
999424,-2.2773228,597.07,0.7
1015808,-2.6713777,633.74,0.65
