step,return,length,success
16384,1.8800008,166.5,1.0
32768,0.4961123,349.1111111111111,1.0
49152,-0.6713937,490.27777777777777,1.0
65536,-4.252016,831.8939393939394,0.4393939393939394
81920,-3.926867,800.1216216216217,0.4864864864864865
98304,-3.5450387,758.943820224719,0.5168539325842697
114688,-3.7342896,778.32,0.52
131072,-4.122395,807.77,0.39
147456,-3.5670383,752.24,0.49
163840,-3.6542883,760.74,0.51
180224,-3.618288,760.27,0.54
196608,-3.3948355,740.17,0.57
212992,-2.957679,703.02,0.66
229376,-2.4704251,652.62,0.7
245760,-2.7377276,673.89,0.63
262144,-2.7425277,669.67,0.63
278528,-2.706728,665.42,0.64
294912,-3.3350844,728.13,0.58
311296,-3.5826368,751.95,0.53
327680,-3.8241892,775.55,0.53
344064,-3.7072897,765.33,0.55
360448,-3.460336,743.0,0.58
376832,-3.2017322,721.89,0.63
393216,-3.0361297,705.86,0.68
409600,-2.7111263,680.23,0.74
425984,-2.5344248,654.61,0.75
442368,-1.8955715,584.1,0.8
458752,-1.8684218,578.66,0.79
475136,-1.9068199,577.92,0.79
491520,-2.232124,605.44,0.74
507904,-2.9174786,683.46,0.69
524288,-2.7141275,663.09,0.71
540672,-2.6299274,656.31,0.73
557056,-2.6811783,662.01,0.71
573440,-2.342176,615.21,0.69
589824,-1.9153719,580.35,0.76
606208,-1.8395206,578.77,0.77
622592,-1.3119143,528.72,0.83
638976,-1.3161129,535.8,0.85
655360,-1.7031674,577.27,0.81
671744,-1.5370172,561.03,0.84
688128,-1.4384658,553.45,0.85
704512,-1.8862692,596.85,0.79
720896,-1.9540712,600.45,0.78
737280,-2.149873,616.88,0.76
753664,-1.8166707,584.42,0.79
770048,-1.6884705,574.93,0.8
786432,-1.228716,529.66,0.83
802816,-0.7002617,472.5,0.87
819200,-0.42295837,443.4,0.9
835584,-0.55765957,452.08,0.88
851968,-0.97516173,502.42,0.86
868352,-1.2984139,535.68,0.82
884736,-1.0512618,515.15,0.85
901120,-0.78085977,485.58,0.86
917504,-0.67515826,482.31,0.9
933888,-0.911411,513.05,0.88
950272,-0.8615605,507.55,0.89
966656,-0.8405107,501.59,0.87
983040,-0.9584613,506.95,0.84
999424,-0.842462,488.34,0.84
1015808,-0.87176377,488.95,0.82
1032192,-0.56446105,453.38,0.86
1048576,-0.9998643,496.55,0.81
1064960,-0.8035633,480.13,0.87
1081344,-0.32485944,431.74,0.9
1097728,-0.29780746,434.34,0.92
1114112,-0.23980638,425.67,0.91
1130496,-0.24345788,429.53,0.92
1146880,-0.086057924,411.04,0.92
1163264,0.10354394,391.86,0.92
1179648,-0.42670947,454.52,0.89
1196032,-0.4901096,460.39,0.89
1212416,-0.4186095,446.92,0.87
1228800,-0.20545857,419.94,0.87
1245184,0.11149247,386.8,0.91
1261568,0.15424395,385.27,0.93
1277952,-0.22110741,426.93,0.89
1294336,-0.4863597,452.73,0.84
1310720,-0.18910803,421.17,0.88
1327104,0.23659514,372.93,0.93
1343488,0.41694644,351.82,0.94
1359872,0.10634361,384.24,0.9
1376256,-0.4266103,447.95,0.85
1392640,-0.12010841,411.16,0.87
1409024,0.0093433885,399.81,0.89
1425408,-0.11920747,417.73,0.89
1441792,-0.10460727,417.47,0.9
1458176,-0.23870713,433.44,0.89
1474560,-0.4961091,459.52,0.83
1490944,-0.6231103,468.12,0.79
1507328,-0.8452137,485.59,0.74
1523712,-0.5293619,452.63,0.81
1540096,-0.14095949,411.84,0.86
1556480,0.05869242,395.54,0.9
1572864,0.10354359,391.8,0.92
1589248,-0.2283086,423.6,0.87
1605632,-0.07930828,406.51,0.88
1622016,0.040692426,397.58,0.9
1638400,0.08424203,389.15,0.9
1654784,-0.64891297,469.96,0.82
1671168,-0.77081436,476.11,0.76
1687552,-0.66836244,469.09,0.78
1703936,-0.26445904,432.23,0.85
1720320,-0.1349079,425.65,0.89
1736704,0.25294402,378.03,0.9
1753088,0.23674427,379.33,0.91
1769472,-0.23260891,430.58,0.86
1785856,-0.69061136,486.58,0.83
1802240,0.09929258,393.71,0.91
1818624,0.41489345,355.73,0.93
1835008,0.4025931,358.32,0.92
1851392,-0.16215974,422.34,0.86
1867776,0.22219363,379.1,0.9
1884160,0.41584465,356.07,0.89
1900544,0.33889338,358.2,0.86
1916928,-0.7605125,488.72,0.77
1933312,-1.0261153,511.08,0.74
1949696,-0.6867646,468.83,0.76
1966080,-0.03955971,401.0,0.84
1982464,-0.0039077844,401.68,0.86
1998848,-0.28210852,434.82,0.85
2015232,-0.5081101,458.96,0.82
2031616,-0.14795735,426.42,0.89
2048000,-0.045857724,412.04,0.87
2064384,0.33944345,362.62,0.89
2080768,0.020390755,396.35,0.83
2097152,-0.1377113,411.03,0.8
2113536,0.035490803,392.04,0.83
2129920,0.12889257,382.9,0.85
2146304,0.12264116,378.77,0.84
2162688,0.2550405,363.82,0.86
2179072,0.27029115,362.7,0.85
2195456,0.23854175,366.83,0.85
2211840,-0.042458724,404.61,0.83
2228224,0.1211425,388.58,0.86
2244608,0.3765943,364.48,0.92
2260992,0.32409328,368.76,0.91
2277376,0.32559282,365.81,0.89
2293760,0.18489179,374.12,0.84
2310144,-0.48106197,455.14,0.78
2326528,-0.643564,477.0,0.78
2342912,-0.44851303,458.55,0.82
2359296,0.37629318,357.07,0.89
2375680,-0.090206966,418.87,0.89
2392064,0.08099325,403.22,0.91
2408448,0.71254617,324.97,0.94
2424832,0.98789716,286.85,0.94
2441216,0.76254594,314.27,0.92
2457600,0.40014392,355.96,0.88
2473984,0.6432958,330.98,0.92
2490368,0.65174615,332.94,0.93
2506752,0.7675967,321.04,0.96
2523136,0.92299825,305.31,0.99
2539520,0.6367451,328.65,0.91
2555904,1.0086968,284.76,0.93
2572288,1.0490975,285.97,0.95
2588672,0.8762471,304.37,0.93
2605056,0.9492984,296.23,0.95
2621440,0.8124965,307.04,0.93
2637824,0.57754415,331.69,0.9
2654208,0.6991449,320.26,0.92
2670592,0.7662451,313.43,0.92
