step,return,length,success
16384,1.6450008,201.0,1.0
32768,0.04875021,396.5,1.0
49152,-0.4065921,454.5,1.0
65536,-3.9322178,794.8260869565217,0.463768115942029
81920,-3.782508,779.3835616438356,0.4794520547945205
98304,-3.6847625,770.7555555555556,0.5
114688,-3.7974403,787.28,0.51
131072,-4.986705,891.6,0.28
147456,-4.362798,832.88,0.4
163840,-3.8826907,796.66,0.51
180224,-3.7321894,779.53,0.53
196608,-3.7024374,770.29,0.53
212992,-3.327383,733.26,0.61
229376,-3.670585,766.14,0.56
245760,-4.0349402,798.97,0.53
262144,-4.180594,816.0,0.51
278528,-3.7782905,776.98,0.56
294912,-3.4676876,752.21,0.62
311296,-2.8844323,691.78,0.65
327680,-2.497628,650.34,0.69
344064,-2.594928,663.91,0.68
360448,-2.2636242,630.5,0.7
376832,-2.4327242,646.73,0.69
393216,-2.3599224,643.17,0.72
409600,-2.1640217,621.89,0.74
425984,-2.452075,649.01,0.71
442368,-2.313223,640.8,0.72
458752,-2.179773,624.65,0.72
475136,-1.7742702,586.48,0.76
491520,-1.3690175,547.0,0.81
507904,-1.0592146,514.21,0.83
524288,-0.97926354,509.33,0.84
540672,-0.9473131,509.35,0.86
557056,-1.1041648,525.61,0.82
573440,-1.1527643,526.72,0.8
589824,-1.1390649,520.79,0.78
606208,-0.6826111,476.31,0.87
622592,-0.31380716,444.05,0.92
638976,-0.28830633,441.52,0.94
655360,-0.2824056,440.24,0.93
671744,-0.6671593,478.49,0.87
688128,-0.5990596,468.78,0.85
704512,-0.5472599,461.57,0.85
720896,-0.4433088,453.74,0.86
737280,-0.24470814,430.63,0.87
753664,-0.18410626,430.78,0.89
770048,0.13854542,391.84,0.92
786432,0.15649551,391.01,0.92
802816,0.19329424,379.36,0.89
819200,-0.056907166,406.19,0.85
835584,0.021642802,396.26,0.85
851968,-0.45216027,456.82,0.83
868352,-0.04935814,412.83,0.88
884736,0.026343994,403.72,0.9
901120,0.4132472,361.24,0.94
917504,0.35294613,371.38,0.94
933888,0.44289538,357.85,0.93
950272,0.44344532,357.75,0.92
966656,0.8530969,307.53,0.93
983040,0.98034745,293.18,0.96
999424,0.7973466,316.46,0.95
1015808,0.68434644,327.84,0.92
1032192,0.768247,321.67,0.95
1048576,0.8822977,310.62,0.98
1064960,1.0601482,287.09,0.97
1081344,1.0883981,281.55,0.96
1097728,1.0953981,282.07,0.98
1114112,1.2069985,268.07,0.97
1130496,1.1454983,276.88,0.97
1146880,0.8960969,306.02,0.95
1163264,1.1541485,275.86,0.97
1179648,1.0800983,286.28,0.96
