step,return,length,success
16384,1.4950007,212.0,1.0
32768,0.21785787,380.57142857142856,1.0
49152,-0.8070033,511.46666666666664,1.0
65536,-5.0602074,877.53125,0.28125
81920,-4.7760487,846.7428571428571,0.3142857142857143
98304,-4.8757725,858.8421052631579,0.2894736842105263
114688,-5.0156,869.170731707317,0.2682926829268293
131072,-6.505473,967.55,0.08
147456,-6.07047,928.83,0.14
163840,-5.6949673,898.02,0.21
180224,-5.3131127,872.07,0.3
196608,-5.0574093,879.05,0.33
212992,-4.614002,848.97,0.39
229376,-4.3684993,837.48,0.43
245760,-4.053892,816.6,0.5
262144,-4.2711964,827.77,0.42
278528,-3.4169385,742.93,0.54
294912,-3.149285,716.2,0.58
311296,-3.1189845,718.37,0.58
327680,-3.2820852,732.6,0.55
344064,-3.0274792,712.59,0.59
360448,-3.1468291,731.23,0.59
376832,-3.0603797,715.64,0.59
393216,-2.385024,648.81,0.69
409600,-1.9581201,610.31,0.76
425984,-1.5636667,573.15,0.81
442368,-1.3055156,541.82,0.81
458752,-1.336166,544.29,0.8
475136,-1.2559648,541.09,0.82
491520,-1.3914657,557.23,0.79
507904,-1.6662177,586.99,0.74
524288,-1.6967186,587.4,0.7
540672,-1.8542199,604.76,0.67
557056,-1.8779702,607.34,0.66
573440,-1.7199686,597.31,0.69
589824,-1.8197186,609.15,0.67
606208,-1.3252655,551.21,0.71
622592,-0.83481157,494.98,0.76
638976,-0.685612,473.48,0.81
655360,-0.8110125,490.5,0.8
671744,-0.8158624,491.34,0.79
688128,-0.69231105,483.48,0.8
704512,-0.24960811,435.34,0.87
720896,-0.61461115,475.96,0.82
737280,-0.6109617,474.21,0.81
753664,-0.86441267,503.2,0.77
770048,-0.62256026,478.48,0.81
786432,-0.07920668,417.1,0.88
802816,-0.2628584,434.04,0.85
819200,-0.19255829,426.07,0.86
835584,-0.19180731,427.89,0.87
851968,-0.11695807,416.45,0.86
868352,0.106041476,381.62,0.82
884736,0.33494395,359.92,0.87
901120,0.43354604,352.43,0.91
917504,0.54029673,340.32,0.91
933888,0.43544635,357.02,0.91
950272,0.3411947,366.55,0.9
966656,0.36394474,364.22,0.9
983040,0.0712938,398.67,0.88
999424,0.32739517,367.6,0.91
1015808,0.6574471,332.79,0.96
1032192,0.5475966,343.76,0.93
1048576,0.14784302,384.64,0.86
1064960,0.27769387,372.14,0.88
1081344,0.57194525,338.71,0.92
1097728,0.533196,349.01,0.94
1114112,0.41504616,363.9,0.92
1130496,0.52864724,353.35,0.94
1146880,0.4831963,356.39,0.93
1163264,0.93279755,297.41,0.95
1179648,0.8023471,314.37,0.94
1196032,0.99384826,290.59,0.95
1212416,1.0796487,283.0,0.98
1228800,1.0147984,288.31,0.96
1245184,1.0666485,284.33,0.95
1261568,1.0742481,282.77,0.95
1277952,1.126198,274.24,0.95
1294336,0.877497,308.0,0.94
1310720,0.8809475,309.02,0.95
1327104,1.0487475,284.17,0.94
1343488,0.750596,315.29,0.9
1359872,0.7843972,317.82,0.92
1376256,0.7989975,319.8,0.95
1392640,1.142599,279.36,0.98
1409024,1.2402991,268.26,0.98
1425408,1.2842494,264.92,0.99
1441792,1.4784999,238.99,1.0
1458176,1.4022994,244.82,0.98
1474560,1.4170499,244.47,0.99
1490944,1.4391495,242.03,0.98
1507328,1.3029993,259.51,0.96
1523712,1.3378483,251.23,0.95
1540096,1.1888472,266.25,0.93
1556480,1.4042984,243.03,0.96
1572864,1.2542979,259.14,0.95
1589248,1.2624981,262.5,0.96
1605632,1.4233986,242.17,0.96
1622016,1.4950492,234.71,0.97
1638400,1.4112493,245.85,0.97
1654784,1.3446491,251.91,0.97
1671168,1.5827996,220.91,0.98
1687552,1.4981002,235.42,0.98
1703936,1.3139997,259.62,0.97
1720320,1.3944484,244.6,0.97
1736704,1.4340489,242.84,0.97
1753088,1.4953995,236.49,0.98
1769472,1.7183002,208.3,1.0
1785856,1.6261994,218.77,0.98
1802240,1.3572972,243.62,0.92
1818624,1.8839498,181.58,0.98
1835008,1.6499493,215.94,0.98
1851392,1.6860495,208.38,0.97
1867776,1.5737982,220.12,0.95
1884160,1.80935,193.67,0.98
1900544,1.6956989,205.44,0.96
1916928,1.496449,234.32,0.96
1933312,1.6537492,211.36,0.97
1949696,1.7397493,200.13,0.97
1966080,1.7604502,203.48,0.99
1982464,1.7741997,198.88,0.98
1998848,1.7674994,199.35,0.98
2015232,1.2404473,259.48,0.92
2031616,1.2640477,261.0,0.94
2048000,1.2563975,267.13,0.98
2064384,1.6335481,210.15,0.95
2080768,1.4174482,240.82,0.94
2097152,1.171148,280.16,0.96
2113536,1.4809994,238.98,0.98
2129920,1.3365471,249.98,0.93
2146304,1.6635993,213.04,0.97
2162688,1.8097501,197.9,0.99
2179072,1.584349,222.58,0.96
2195456,1.6356987,215.78,0.96
2211840,1.7242497,207.39,0.98
2228224,1.7427493,202.62,0.97
2244608,1.8095497,198.11,0.99
2260992,1.6406991,215.95,0.96
2277376,1.7851999,199.35,0.98
2293760,1.7157505,213.18,1.0
2310144,1.7649493,201.45,0.98
2326528,1.8128499,196.73,0.99
2342912,1.6057487,216.96,0.95
2359296,1.9497502,177.37,0.99
2375680,1.8823498,187.44,0.99
2392064,1.8702999,190.2,0.99
2408448,1.9521997,177.26,0.99
2424832,1.9588993,173.51,0.98
2441216,1.8667003,192.27,1.0
2457600,2.0760503,161.49,0.99
2473984,1.9264499,179.84,0.98
2490368,1.9429507,183.03,1.0
2506752,1.9453006,182.29,1.0
2523136,1.8416994,191.71,0.98
2539520,1.9745002,176.02,0.99
2555904,1.98795,175.43,0.99
2572288,1.8798995,187.72,0.99
2588672,1.9016504,186.85,0.99
2605056,2.2080004,144.17,1.0
2621440,2.167,148.1,0.99
2637824,2.00405,174.07,0.99
2654208,2.105,156.71,0.98
2670592,1.9550494,175.43,0.97
2686976,1.8979994,184.22,0.98
2703360,2.1958501,143.54,0.99
2719744,2.1798506,150.85,1.0
2736128,2.09975,158.67,0.99
2752512,2.1202497,157.29,0.99
2768896,1.9892993,172.47,0.97
2785280,1.9422494,179.06,0.97
2801664,2.3058999,130.29,0.99
2818048,2.21665,142.79,0.99
2834432,2.1939504,148.23,1.0
2850816,2.1037502,158.7,0.99
2867200,1.9691992,174.56,0.96
2883584,2.1175501,158.44,0.99
2899968,2.1724505,153.81,1.0
2916352,2.14355,155.71,1.0
2932736,2.1388505,157.58,1.0
2949120,2.2962003,135.05,1.0
2965504,2.09945,161.18,0.99
2981888,2.4168005,115.06,1.0
2998272,2.1492503,153.66,1.0
3014656,2.0135,171.53,0.98
3031040,2.0623498,163.67,0.98
3047424,1.9608994,176.29,0.97
3063808,2.0857499,162.14,0.99
3080192,2.0876,162.34,0.99
3096576,2.14885,152.27,0.99
