id,length,success,spl
0,788.21,0.45,0.017573752079398777
100000,733.89,0.53,0.021928841292367406
1000000,571.31,0.63,0.05045317203537437
10000000,158.67,0.99,0.17089361676517573
10100000,176.57,0.96,0.16427862194577245
10200000,150.12,0.98,0.2061473070138186
10300000,161.55,0.99,0.18910487063973824
10400000,156.72,1.0,0.21415670346167448
10500000,156.56,1.0,0.2107285311507598
10600000,178.11,0.97,0.22879515420339186
10700000,156.14,0.98,0.2085050012130947
10800000,170.75,0.97,0.22203494080562844
10900000,184.99,0.97,0.23471380959836474
1100000,410.37,0.88,0.07421529262232039
11000000,154.82,0.97,0.2359213370687167
11100000,188.22,0.96,0.2006902044786944
11200000,183.11,0.96,0.18233984578360687
11300000,159.66,0.99,0.2147100725243013
11400000,179.78,0.98,0.1884662328742241
11500000,146.93,1.0,0.21088770632963397
11600000,154.73,0.97,0.24458879683163098
11700000,150.02,1.0,0.23454360088221562
11800000,124.89,0.99,0.24334148064282488
11900000,185.09,0.96,0.19237665227445955
1200000,493.73,0.81,0.05532904294250485
12000000,175.83,0.97,0.22719207699804986
12100000,153.54,0.98,0.20718442097030912
12200000,173.01,0.99,0.18468879170254837
12300000,160.7,0.98,0.18812923421413402
12400000,165.97,0.98,0.20292796147121034
12500000,162.86,0.98,0.18943145639802628
12600000,132.57,0.98,0.2231824304416539
12700000,177.68,0.95,0.2040163821631775
12800000,178.75,0.98,0.19863812895875474
12900000,154.0,0.97,0.23625951098270068
1300000,484.99,0.85,0.06325892709850792
13000000,164.27,0.98,0.21411908184566097
13100000,150.12,0.98,0.24136858726336285
13200000,149.03,0.99,0.2340774244129215
13300000,160.74,0.96,0.22044043456678852
13400000,177.33,0.96,0.18945808107145554
13500000,221.26,0.95,0.19283782049695475
13600000,173.8,0.99,0.1980784549394183
13700000,198.31,0.96,0.19224941982754273
13800000,159.7,0.97,0.20978014108383228
13900000,164.63,0.97,0.2125123658027735
1400000,501.13,0.75,0.06810660934382122
14000000,145.45,0.98,0.21538867133757805
14100000,187.18,0.98,0.18207819601177822
14200000,181.88,0.97,0.22695259884857508
14300000,168.27,0.97,0.23420494534235659
14400000,193.78,0.97,0.20501507561922452
14500000,195.25,0.97,0.1916870817225329
14600000,172.23,0.97,0.22066658522831864
14700000,190.36,0.96,0.24678990786111998
14800000,196.87,0.94,0.2311927442240167
14900000,158.61,0.97,0.2502673758505364
