step,return,length,success
16384,2.0362506,146.5,1.0
32768,0.80458474,305.25,1.0
49152,-0.5875031,479.9230769230769,1.0
65536,-3.8402593,778.5,0.4852941176470588
81920,-3.6139336,752.1558441558442,0.4935064935064935
98304,-3.5491385,738.2584269662922,0.5056179775280899
114688,-3.8903399,774.35,0.47
131072,-4.684551,838.08,0.33
147456,-4.1996465,793.26,0.42
163840,-3.8994913,774.45,0.48
180224,-4.1219935,801.14,0.45
196608,-4.5253477,830.6,0.36
212992,-4.1772447,797.38,0.41
229376,-4.1751943,804.0,0.44
245760,-4.4124465,828.52,0.42
262144,-4.4795985,836.15,0.39
278528,-4.0138927,799.3,0.48
294912,-3.9197912,797.18,0.52
311296,-3.5588868,757.06,0.55
327680,-3.1320336,712.3,0.63
344064,-3.0641334,707.29,0.65
360448,-3.0757835,704.69,0.62
376832,-3.5388384,749.69,0.56
393216,-3.6137378,753.58,0.5
409600,-3.096381,710.37,0.59
425984,-3.087632,706.82,0.57
442368,-3.0103316,696.35,0.57
458752,-2.818079,684.48,0.63
475136,-3.1215332,711.31,0.6
491520,-2.8562799,685.96,0.66
507904,-2.4989276,651.22,0.7
524288,-2.4233766,645.52,0.7
540672,-2.373976,646.51,0.71
557056,-2.3941267,645.61,0.68
573440,-2.4856768,660.3,0.7
589824,-2.2165747,634.57,0.73
606208,-2.1820242,633.41,0.75
622592,-2.1300232,626.52,0.76
638976,-2.3923762,652.02,0.72
655360,-2.6264265,673.6,0.69
671744,-2.6339755,679.02,0.7
688128,-2.9335275,713.51,0.67
704512,-2.9305277,712.42,0.65
720896,-2.5148737,677.6,0.73
737280,-2.5409765,675.82,0.72
753664,-2.192823,628.17,0.73
770048,-2.2159746,633.26,0.77
786432,-2.0911734,613.83,0.76
802816,-2.0014696,611.83,0.79
819200,-1.9876193,612.78,0.79
835584,-1.5407656,563.4,0.82
851968,-1.5488664,563.82,0.84
868352,-1.7243695,578.46,0.8
884736,-1.6905192,572.26,0.8
901120,-2.064422,613.4,0.74
917504,-1.9664226,600.04,0.73
933888,-1.8213702,584.28,0.73
950272,-2.067121,617.52,0.75
966656,-2.0145717,613.63,0.76
983040,-1.486716,565.31,0.84
999424,-1.3007135,551.42,0.86
1015808,-0.87230855,509.29,0.92
1032192,-0.9356573,523.08,0.93
1048576,-1.2118604,555.08,0.91
1064960,-1.5598155,583.2,0.83
1081344,-2.0936706,637.96,0.76
1097728,-2.2832737,648.76,0.71
1114112,-1.8136697,595.83,0.76
1130496,-1.3548654,550.96,0.84
1146880,-1.5761693,572.06,0.81
1163264,-1.5116172,570.38,0.82
1179648,-0.9779633,513.65,0.86
1196032,-0.46580902,455.03,0.9
1212416,-0.6280604,476.49,0.9
1228800,-0.94281226,516.42,0.9
1245184,-1.2503134,550.25,0.86
1261568,-1.3143135,553.19,0.85
1277952,-1.2881147,548.75,0.84
1294336,-1.513516,574.7,0.83
1310720,-1.3707156,559.91,0.85
1327104,-1.7130183,593.99,0.78
1343488,-1.722719,593.35,0.77
1359872,-1.5161164,580.45,0.82
1376256,-1.2354637,554.46,0.85
1392640,-0.9315616,521.21,0.89
1409024,-0.82916045,508.38,0.89
1425408,-0.9502628,521.9,0.87
1441792,-1.1770636,543.23,0.84
1458176,-1.3843657,566.34,0.82
1474560,-1.7163707,598.61,0.77
1490944,-1.6918211,596.34,0.78
1507328,-1.2908679,551.98,0.82
1523712,-1.0992662,526.98,0.84
1540096,-0.956761,515.64,0.86
1556480,-1.2392126,551.81,0.84
1572864,-0.9578117,518.59,0.86
1589248,-0.5934621,472.96,0.89
1605632,-0.59131163,473.2,0.91
1622016,-0.65731126,485.17,0.92
1638400,-0.83551085,508.48,0.92
1654784,-0.59960914,481.59,0.92
1671168,-0.70870954,495.22,0.91
1687552,-0.73820955,497.14,0.9
1703936,-1.0283607,527.61,0.86
1720320,-0.97706026,517.29,0.85
1736704,-0.7904594,496.92,0.87
1753088,-0.7821598,501.55,0.89
1769472,-0.8625601,513.64,0.9
1785856,-1.0511626,534.34,0.87
1802240,-1.192914,549.18,0.86
1818624,-0.98271346,519.39,0.85
1835008,-0.90136164,511.47,0.87
1851392,-0.5840592,475.34,0.89
1867776,-0.90086156,508.53,0.85
1884160,-1.1881132,544.14,0.84
1900544,-1.5427667,583.81,0.83
1916928,-1.6025664,590.62,0.81
1933312,-1.467666,573.36,0.81
1949696,-1.2702655,547.13,0.81
1966080,-1.0886154,524.51,0.83
1982464,-0.8501137,498.53,0.87
1998848,-0.6443119,471.94,0.88
2015232,-0.65526116,477.2,0.9
2031616,-0.85321146,508.27,0.91
2048000,-0.62340796,489.34,0.93
2064384,-0.51890737,475.09,0.92
2080768,-0.40090692,462.78,0.93
2097152,-0.38325813,459.81,0.92
2113536,-0.4082586,462.66,0.9
2129920,-0.28615826,447.97,0.91
