step,return,length,success
16384,1.4125009,229.25,1.0
32768,0.63277787,330.1111111111111,1.0
49152,-0.2050016,433.7857142857143,1.0
65536,-4.38093,839.5441176470588,0.38235294117647056
81920,-4.121245,809.44,0.4
98304,-3.5472672,753.1413043478261,0.4782608695652174
114688,-3.676339,772.75,0.5
131072,-3.9092429,782.92,0.44
147456,-3.5056374,742.79,0.52
163840,-3.2556841,727.84,0.6
180224,-3.3515356,735.68,0.59
196608,-3.6511393,753.29,0.51
212992,-3.2226844,722.13,0.61
229376,-3.229384,721.46,0.62
245760,-3.1168334,710.26,0.64
262144,-3.4554858,742.05,0.57
278528,-3.5189874,743.64,0.57
294912,-3.8518927,765.21,0.5
311296,-4.0010943,774.51,0.45
327680,-3.967441,785.0,0.5
344064,-3.7390387,775.15,0.57
360448,-3.838838,793.38,0.56
376832,-3.385833,746.83,0.6
393216,-3.5515864,757.05,0.56
409600,-3.630289,748.28,0.49
425984,-3.2406354,709.46,0.55
442368,-3.3169854,718.56,0.54
458752,-2.6054296,654.03,0.64
475136,-2.6701798,667.18,0.66
491520,-2.397777,637.92,0.68
507904,-2.0625744,605.59,0.73
524288,-1.8185201,586.75,0.75
540672,-1.700269,576.11,0.76
557056,-1.7255194,578.98,0.74
573440,-1.9010224,598.4,0.72
589824,-1.8454225,586.13,0.7
606208,-1.5361706,553.9,0.74
622592,-1.4124177,545.88,0.77
638976,-1.2437665,533.79,0.81
655360,-1.3645161,548.47,0.8
671744,-1.8934702,610.97,0.78
688128,-1.7312703,592.04,0.78
704512,-1.3530173,556.54,0.85
720896,-1.1722645,541.59,0.87
737280,-1.1776631,546.89,0.88
753664,-1.1897616,548.93,0.9
770048,-1.1744134,541.68,0.87
786432,-1.1616628,539.09,0.87
802816,-1.3112637,554.8,0.85
819200,-1.1588125,541.79,0.87
835584,-1.0512125,524.54,0.88
851968,-1.0189629,518.27,0.87
868352,-1.0295641,520.35,0.88
884736,-1.4239671,556.26,0.79
901120,-1.3627177,550.85,0.79
917504,-1.074215,517.53,0.8
933888,-0.8512131,503.13,0.85
950272,-0.65200996,484.07,0.89
966656,-0.78786117,496.34,0.86
983040,-0.85531026,508.34,0.87
999424,-0.98841196,528.53,0.87
1015808,-0.67835945,494.05,0.9
1032192,-0.39300764,463.44,0.95
1048576,-0.45375788,466.54,0.92
1064960,-0.50985956,468.42,0.88
1081344,-0.34095845,445.49,0.89
1097728,-0.030307613,406.03,0.92
1114112,-0.12900835,418.28,0.92
1130496,-0.11505869,415.69,0.89
1146880,-0.13440584,427.46,0.92
1163264,-0.39905712,461.09,0.89
1179648,-0.28350735,446.91,0.9
1196032,0.055392858,402.49,0.91
1212416,0.12469431,395.7,0.92
1228800,-0.17235832,421.63,0.84
1245184,-0.36235887,447.11,0.86
1261568,-0.47896048,455.88,0.83
1277952,-0.7377617,488.62,0.83
1294336,-1.2851161,550.17,0.79
1310720,-0.73731476,489.41,0.85
1327104,-0.28821075,443.16,0.91
1343488,-0.119607344,424.47,0.92
1359872,-0.31130806,439.99,0.88
1376256,-0.5383608,458.5,0.83
1392640,-0.31240883,431.94,0.84
1409024,-0.2287569,437.04,0.92
1425408,0.19964524,395.11,0.97
