step,return,length,success
16384,1.8800008,166.5,1.0
32768,0.6742867,318.57142857142856,1.0
49152,-0.64100397,482.46666666666664,1.0
65536,-4.8488593,854.6417910447761,0.3283582089552239
81920,-4.3605094,803.3026315789474,0.3815789473684211
98304,-4.0170565,771.9310344827586,0.42528735632183906
114688,-4.1483445,789.47,0.44
131072,-3.563588,739.96,0.49
147456,-2.8561816,671.78,0.6
163840,-2.90098,687.39,0.63
180224,-3.1483839,710.32,0.59
196608,-2.793981,674.33,0.62
212992,-2.695678,668.18,0.66
229376,-2.5993278,660.21,0.67
245760,-2.2243752,629.24,0.7
262144,-2.102073,619.32,0.69
278528,-1.9655216,608.56,0.71
294912,-2.040373,618.71,0.7
311296,-2.2941751,643.45,0.65
327680,-2.1320229,633.14,0.68
344064,-2.6034274,674.57,0.61
360448,-2.6485276,676.72,0.6
376832,-1.8507227,586.48,0.67
393216,-1.5230196,556.4,0.71
409600,-1.2556686,528.79,0.74
425984,-1.3099676,541.29,0.76
442368,-1.6480188,582.3,0.72
458752,-1.8865701,607.4,0.7
475136,-1.6447667,584.52,0.73
491520,-1.1996638,537.02,0.8
507904,-0.70035917,488.18,0.88
524288,-0.6571093,477.67,0.84
540672,-0.41645885,448.49,0.85
557056,-0.15070766,416.12,0.86
573440,0.09974455,390.92,0.91
589824,-0.12765704,421.98,0.92
606208,-0.14000604,426.07,0.94
622592,-0.1866571,424.85,0.91
638976,-0.52310884,459.68,0.85
655360,-0.7437607,483.48,0.82
671744,-0.3730086,445.29,0.87
688128,-0.14185646,418.15,0.89
704512,-0.11665669,414.06,0.88
720896,0.5520478,340.11,0.94
737280,0.58414614,333.99,0.93
753664,0.16224441,387.17,0.92
770048,0.10984449,393.84,0.91
786432,0.20034413,383.03,0.9
802816,0.11619306,393.36,0.88
819200,0.20054375,389.16,0.92
835584,0.38089535,367.22,0.93
851968,0.44744602,358.58,0.92
868352,0.5175469,351.64,0.93
884736,0.28919435,373.43,0.89
901120,0.23794377,379.02,0.88
917504,0.5487469,349.1,0.94
933888,0.5221461,348.25,0.93
950272,0.4560942,348.95,0.88
966656,0.5585445,337.82,0.9
983040,0.30749473,372.78,0.91
999424,0.29239544,376.49,0.9
1015808,0.61459655,338.45,0.92
1032192,0.74694806,324.22,0.94
1048576,0.57334757,347.31,0.96
1064960,0.49249694,355.56,0.95
1081344,0.16014446,390.67,0.9
1097728,0.01679425,408.73,0.87
1114112,-0.23205838,431.42,0.82
1130496,0.027292313,395.37,0.84
1146880,0.33769363,361.68,0.88
1163264,0.5126946,344.7,0.89
1179648,0.8533965,302.96,0.91
1196032,0.48069462,343.31,0.87
1212416,-0.14240849,417.42,0.82
1228800,0.21014255,373.14,0.84
1245184,0.8324964,304.68,0.93
1261568,0.711997,326.43,0.95
1277952,0.31229523,370.23,0.9
1294336,0.4267954,354.12,0.89
1310720,1.0312477,282.87,0.94
1327104,0.9058474,299.42,0.94
1343488,0.46884513,352.64,0.91
1359872,0.62099475,328.82,0.91
1376256,0.5296948,340.17,0.9
1392640,0.47859544,349.86,0.9
1409024,0.66609627,329.44,0.92
1425408,0.9481986,299.85,0.96
1441792,1.0863485,283.27,0.97
1458176,1.1501987,277.35,0.98
1474560,1.0095994,297.97,0.98
1490944,1.0325493,294.04,0.98
1507328,1.4453497,238.99,0.98
1523712,1.3528001,252.65,0.99
1540096,1.163899,276.24,0.97
1556480,1.0603474,286.65,0.95
1572864,1.3481997,252.16,0.98
1589248,1.2501987,262.53,0.97
1605632,1.0743985,286.65,0.97
1622016,1.0485473,289.98,0.97
1638400,1.0319471,289.84,0.96
1654784,1.3615986,246.33,0.96
1671168,1.1179969,277.15,0.95
1687552,1.079597,280.68,0.94
1703936,1.3387995,255.73,0.98
1720320,1.3750992,250.15,0.97
1736704,1.5061496,233.16,0.97
1753088,1.65445,213.3,0.99
1769472,1.4240495,242.74,0.98
1785856,1.4875494,235.03,0.98
1802240,1.2433972,262.46,0.96
1818624,1.0243459,284.84,0.91
1835008,1.3759477,244.07,0.94
1851392,1.2982482,257.16,0.95
1867776,1.0369478,294.12,0.96
1884160,1.1511476,278.9,0.96
1900544,1.276648,260.17,0.95
1916928,1.4116482,242.35,0.97
