step,return,length,success
16384,1.3216677,238.33333333333334,1.0
32768,0.43888992,350.55555555555554,1.0
49152,-0.9583378,528.7142857142857,1.0
65536,-4.1817336,815.3382352941177,0.4852941176470588
81920,-3.7753723,772.4266666666666,0.52
98304,-3.6314156,760.919540229885,0.5402298850574713
114688,-3.8359885,786.35,0.54
131072,-4.418098,827.94,0.39
147456,-4.103445,798.76,0.45
163840,-3.6974392,766.72,0.56
180224,-4.1091948,803.44,0.51
196608,-4.395197,825.21,0.41
212992,-4.021044,792.78,0.5
229376,-3.7649403,775.99,0.53
245760,-3.6364877,773.06,0.55
262144,-3.2106338,726.25,0.6
278528,-2.728778,676.92,0.65
294912,-2.6862283,668.62,0.64
311296,-2.5478294,645.4,0.63
327680,-2.63133,657.84,0.64
344064,-2.9435828,692.56,0.62
360448,-2.9878826,707.03,0.64
376832,-3.1587818,726.53,0.63
393216,-3.1814318,727.35,0.62
409600,-2.8449297,693.37,0.64
425984,-2.6103275,666.57,0.65
442368,-2.5783274,665.35,0.63
458752,-2.2740743,640.37,0.67
475136,-2.355024,654.77,0.65
491520,-2.0094204,622.44,0.71
507904,-1.96362,618.68,0.72
524288,-2.1031191,638.02,0.72
540672,-1.7840179,593.31,0.74
557056,-2.314722,645.39,0.65
573440,-2.411722,655.51,0.66
589824,-2.3192227,641.94,0.66
606208,-1.2826142,537.0,0.78
622592,-0.688311,475.9,0.83
638976,-0.746111,479.81,0.82
655360,-0.87761164,498.36,0.83
671744,-0.5291084,465.93,0.88
688128,-0.22505583,435.62,0.9
704512,-0.1725568,427.53,0.88
720896,0.021393888,403.69,0.9
737280,0.03139415,399.22,0.89
753664,0.26604393,368.62,0.9
770048,0.113443404,389.59,0.92
786432,-0.32870957,438.38,0.86
802816,-0.4776088,461.21,0.87
819200,-0.27535605,444.25,0.89
835584,-0.13935466,432.07,0.92
851968,-0.15580583,431.11,0.9
868352,0.010395122,410.48,0.91
884736,0.12684456,390.37,0.89
901120,0.012092964,401.42,0.86
917504,0.17369394,381.3,0.87
933888,-0.05985647,416.28,0.89
950272,-0.36230806,452.52,0.87
966656,0.07819554,403.13,0.91
983040,0.37924686,367.2,0.93
999424,0.5745475,345.14,0.95
1015808,0.340195,370.7,0.91
1032192,0.16519336,389.55,0.89
1048576,0.53824574,348.01,0.94
1064960,0.8915479,307.75,0.96
1081344,0.77649796,320.17,0.95
1097728,0.31784502,372.49,0.89
1114112,0.021742508,404.07,0.85
1130496,0.18214323,384.3,0.86
1146880,0.35994393,362.8,0.88
1163264,0.4939949,345.04,0.89
1179648,0.34324417,363.06,0.88
1196032,-0.22675963,423.49,0.79
1212416,-0.14220785,421.68,0.83
1228800,0.4942464,353.99,0.92
1245184,0.13804334,391.13,0.86
1261568,0.47484505,351.56,0.9
1277952,1.0146488,290.75,0.96
1294336,0.8555475,310.45,0.94
1310720,0.58579546,342.3,0.92
1327104,0.7763462,317.85,0.93
1343488,0.7897953,314.29,0.9
1359872,0.9828462,295.39,0.94
1376256,1.1341982,275.06,0.94
1392640,1.3748997,250.9,0.98
1409024,1.28375,263.54,0.99
1425408,1.0365983,292.22,0.97
1441792,1.2861487,260.39,0.98
1458176,1.313849,253.06,0.96
1474560,0.7620459,317.79,0.91
1490944,0.8598462,306.74,0.92
1507328,1.1050484,279.91,0.96
1523712,1.0272973,289.42,0.95
1540096,1.0106978,291.79,0.94
1556480,1.2665493,265.2,0.98
1572864,1.1744986,276.63,0.99
1589248,0.80244684,319.85,0.94
1605632,1.0982982,288.72,0.98
1622016,1.1546485,279.67,0.97
1638400,1.1617988,279.04,0.97
1654784,1.1187485,283.19,0.96
1671168,1.0440978,288.02,0.94
1687552,0.6952965,330.57,0.92
1703936,0.9123475,305.61,0.94
1720320,1.4094473,236.58,0.94
1736704,1.206148,266.62,0.95
1753088,1.2279986,266.88,0.97
1769472,1.3091486,257.61,0.96
1785856,1.6502498,213.8,0.98
1802240,1.5787497,221.37,0.98
1818624,1.2842485,259.03,0.96
1835008,1.3011484,256.71,0.96
1851392,1.7564497,201.82,0.99
1867776,1.4572992,239.08,0.97
1884160,1.7281991,202.39,0.98
1900544,1.515599,231.04,0.98
1916928,1.6422491,212.25,0.97
1933312,1.4325479,234.99,0.94
1949696,1.8164499,192.53,0.98
1966080,1.516899,228.48,0.97
1982464,1.506649,227.19,0.96
1998848,1.8153495,189.45,0.98
2015232,1.641949,215.38,0.99
2031616,1.366498,245.93,0.95
2048000,1.1663965,266.75,0.92
2064384,0.9458455,293.89,0.9
2080768,1.3855469,238.96,0.92
2097152,1.1748974,271.49,0.93
2113536,1.0839977,284.76,0.95
2129920,1.3694988,249.52,0.96
2146304,1.5892481,215.39,0.93
2162688,1.5404985,228.59,0.96
2179072,1.8037,192.69,0.98
2195456,1.779899,192.26,0.96
2211840,1.86605,189.7,1.0
2228224,1.7923498,199.11,0.99
2244608,1.6518489,210.54,0.96
2260992,1.7303003,207.57,0.99
2277376,1.8251501,196.31,0.99
2293760,1.6638485,209.6,0.97
2310144,1.7996495,196.15,0.98
2326528,1.7675482,199.1,0.97
2342912,1.7667493,198.79,0.98
2359296,1.6799997,212.7,0.98
2375680,1.7732992,197.65,0.97
2392064,1.6971992,212.04,0.98
2408448,1.9720001,175.21,0.99
2424832,1.8994,184.09,0.99
2441216,1.6628498,216.18,0.98
2457600,1.6865001,215.19,0.99
2473984,1.8180003,196.39,0.99
2490368,1.9348502,178.3,0.99
2506752,1.6523982,212.65,0.97
2523136,1.6154485,217.75,0.97
2539520,1.5914986,222.11,0.97
2555904,1.7334998,204.38,0.99
2572288,1.6500504,219.67,0.99
2588672,1.7464496,205.06,0.99
2605056,2.0938504,156.75,1.0
2621440,1.7457008,206.44,1.0
2637824,1.81755,195.25,0.99
2654208,1.8901995,185.29,0.99
2670592,1.9582006,177.56,1.0
2686976,1.9046496,182.58,0.98
2703360,1.9501501,177.99,0.99
2719744,1.8648494,187.99,0.98
2736128,1.8897493,182.01,0.98
2752512,1.5385482,229.47,0.96
2768896,1.6466494,220.31,0.99
