step,return,length,success
32768,-0.30999947,445.85714285714283,1.0
49152,-1.0930578,538.4444444444445,1.0
65536,-4.5322394,861.7272727272727,0.3939393939393939
81920,-4.0066833,805.013698630137,0.4520547945205479
98304,-3.7330253,778.8850574712644,0.4942528735632184
114688,-3.8713381,785.76,0.49
131072,-4.4880996,828.39,0.37
147456,-4.045646,787.68,0.44
163840,-3.8565924,768.58,0.49
180224,-4.1621943,805.24,0.46
196608,-4.157544,809.22,0.42
212992,-3.3358316,744.59,0.58
229376,-3.555883,765.85,0.56
245760,-3.6124837,771.98,0.54
262144,-3.6880362,771.52,0.51
278528,-3.590635,759.94,0.53
294912,-3.853289,781.67,0.47
311296,-4.1624417,808.8,0.44
327680,-4.219693,814.12,0.45
344064,-4.1517916,805.59,0.46
360448,-4.2110915,813.82,0.47
376832,-4.0840406,794.37,0.47
393216,-3.8577883,775.06,0.51
409600,-3.9943893,789.2,0.5
425984,-4.0470905,789.27,0.49
442368,-3.8417885,774.43,0.55
458752,-3.5563858,751.69,0.59
475136,-3.369482,736.84,0.59
491520,-3.1600294,722.23,0.64
507904,-3.079928,712.01,0.62
524288,-2.8772254,693.22,0.65
540672,-2.9555783,695.73,0.63
557056,-2.8952286,690.49,0.66
573440,-2.7967281,673.36,0.65
589824,-2.6322281,658.54,0.69
606208,-2.8406796,683.99,0.67
622592,-2.679577,668.27,0.7
638976,-2.6407251,665.06,0.72
655360,-2.7982264,679.89,0.69
671744,-2.6554747,666.11,0.72
688128,-2.7162254,671.89,0.72
704512,-2.8357263,683.58,0.69
720896,-2.759226,672.3,0.68
737280,-2.5830753,650.86,0.67
753664,-2.539024,647.69,0.65
770048,-2.4924738,639.55,0.64
786432,-2.1791215,609.0,0.7
802816,-2.6344247,656.35,0.64
819200,-2.6870756,664.78,0.67
835584,-2.4906218,644.45,0.72
851968,-2.4105718,629.12,0.72
868352,-2.3223708,618.55,0.72
884736,-2.4686222,631.98,0.7
901120,-2.755975,662.71,0.67
917504,-3.06598,695.29,0.63
933888,-3.1112309,698.21,0.64
950272,-3.1451817,698.37,0.64
966656,-3.2219322,705.03,0.62
983040,-3.3320322,714.31,0.59
999424,-3.216032,703.99,0.58
1015808,-3.149231,708.94,0.61
1032192,-2.4109251,635.74,0.71
1048576,-1.8884208,579.11,0.76
1064960,-1.8763695,577.35,0.78
1081344,-1.7480175,555.35,0.78
1097728,-1.7395186,555.84,0.78
1114112,-1.8915203,571.68,0.75
1130496,-1.8586699,571.25,0.75
1146880,-1.8553193,577.16,0.77
1163264,-1.9014701,581.3,0.77
1179648,-1.7545685,567.36,0.79
1196032,-1.5068661,537.31,0.79
1212416,-1.0596622,491.56,0.84
1228800,-1.1411629,503.49,0.83
1245184,-1.191364,509.13,0.83
1261568,-1.425217,529.17,0.75
1277952,-0.8872653,469.62,0.8
1294336,-0.6537127,446.3,0.81
1310720,-0.8129619,468.93,0.84
1327104,-1.0418624,491.4,0.8
1343488,-1.1702628,505.74,0.8
1359872,-0.8360611,466.69,0.82
1376256,-0.92756194,477.33,0.81
1392640,-0.6051109,438.29,0.84
1409024,-0.48630932,431.06,0.87
1425408,-0.7922123,461.31,0.83
1441792,-1.0575641,495.3,0.82
1458176,-1.2052648,522.13,0.82
1474560,-1.0071629,504.7,0.85
1490944,-0.6940597,478.04,0.9
1507328,-0.19825627,419.81,0.92
1523712,-0.14640564,412.0,0.92
1540096,-0.09075694,400.34,0.9
1556480,0.12524398,372.96,0.91
1572864,0.2085455,364.59,0.93
1589248,0.21619524,365.41,0.92
1605632,0.034893245,385.56,0.92
1622016,-0.4138098,436.43,0.87
1638400,-0.23380874,415.51,0.86
1654784,-0.10260864,399.51,0.86
1671168,-0.3274092,427.52,0.85
1687552,-0.47001213,437.28,0.82
1703936,-0.6148133,452.45,0.79
1720320,-0.53956205,443.93,0.81
1736704,-0.67226005,463.97,0.82
1753088,-0.6525602,461.79,0.86
1769472,-0.84496325,483.43,0.81
1785856,-0.5470612,456.62,0.86
1802240,-0.1856073,422.83,0.91
1818624,-0.28205636,435.79,0.9
1835008,0.08674515,387.68,0.91
1851392,0.3108945,356.29,0.91
1867776,0.6070961,321.88,0.94
1884160,0.47724697,343.7,0.95
1900544,0.35729507,352.62,0.92
1916928,0.17014354,372.54,0.89
1933312,-0.38551006,432.38,0.82
1949696,-0.4360591,441.45,0.83
1966080,-0.3168596,427.71,0.87
1982464,0.022994023,399.1,0.94
1998848,0.5560478,338.22,0.96
2015232,0.38584545,356.92,0.93
2031616,0.2579448,374.59,0.93
2048000,0.2687455,372.22,0.93
2064384,0.6410476,326.56,0.96
2080768,0.75889784,315.2,0.98
2097152,0.7191967,313.4,0.94
2113536,0.23199423,366.36,0.89
2129920,0.25024405,367.17,0.92
2146304,0.6061965,326.5,0.94
2162688,0.5465955,329.68,0.91
2179072,0.5495448,327.58,0.9
2195456,0.46569434,335.03,0.9
2211840,0.101042025,378.4,0.89
2228224,0.41899395,345.72,0.91
2244608,0.69109666,317.96,0.94
2260992,0.4487463,350.04,0.94
2277376,0.802047,304.49,0.94
2293760,0.89504653,288.9,0.92
2310144,0.7076957,311.83,0.91
2326528,0.24689342,365.51,0.89
2342912,0.20549385,373.75,0.9
2359296,0.4982956,341.15,0.93
2375680,0.5806475,335.92,0.95
2392064,0.41804644,356.19,0.94
2408448,0.6741471,322.01,0.95
2424832,0.8430974,302.24,0.96
2441216,0.8271978,306.78,0.97
2457600,0.4030956,353.2,0.91
2473984,0.048943087,391.34,0.86
2490368,-0.36210945,438.4,0.83
2506752,-0.28575808,435.28,0.87
2523136,0.56224626,337.75,0.95
2539520,0.89314765,294.25,0.95
