step,return,length,success
16384,1.5960008,194.4,1.0
32768,0.9310726,282.85714285714283,1.0
49152,-0.39760327,449.16,1.0
65536,-3.8515615,771.5942028985507,0.4782608695652174
81920,-3.8711743,768.84,0.4666666666666667
98304,-3.5037868,732.2282608695652,0.5108695652173914
114688,-4.0064898,785.09,0.45
131072,-4.5690484,834.92,0.33
147456,-4.073442,793.31,0.42
163840,-3.7578382,767.99,0.49
180224,-3.8226874,778.9,0.52
196608,-4.1780915,804.04,0.46
212992,-3.6919842,761.34,0.55
229376,-3.718685,761.27,0.56
245760,-3.8812356,778.31,0.53
262144,-3.6748855,767.22,0.54
278528,-3.1362302,722.41,0.63
294912,-2.6412253,683.08,0.71
311296,-2.536575,669.49,0.7
327680,-2.312674,637.24,0.73
344064,-2.5668278,657.1,0.67
360448,-2.9255817,686.41,0.6
376832,-2.633877,657.57,0.65
393216,-2.9488294,692.78,0.6
409600,-3.0211291,700.34,0.61
425984,-2.752825,678.41,0.69
442368,-2.8341265,684.98,0.67
458752,-2.5461252,657.42,0.71
475136,-2.4671245,645.26,0.71
491520,-2.2756224,626.19,0.7
507904,-1.709467,571.53,0.8
524288,-1.1615629,512.18,0.81
540672,-1.0352132,493.88,0.81
557056,-1.0290638,487.71,0.78
573440,-1.4435668,530.15,0.75
589824,-1.6152666,553.82,0.75
606208,-1.8022178,576.27,0.72
622592,-1.6474158,562.15,0.76
638976,-1.4457132,547.88,0.8
655360,-1.0847093,512.18,0.86
671744,-0.879058,490.64,0.88
688128,-0.84760904,482.47,0.85
704512,-0.7798603,474.2,0.85
720896,-0.4488604,436.04,0.86
737280,-0.38546062,432.44,0.84
753664,-0.020058231,393.58,0.85
770048,0.048593096,386.93,0.87
786432,-0.09710724,402.32,0.85
802816,-0.6376598,467.23,0.8
819200,-0.76126015,491.18,0.82
835584,-0.23290786,430.04,0.87
851968,-0.20370838,418.07,0.84
868352,0.05429241,383.57,0.84
884736,-0.6030618,461.03,0.78
901120,-0.4887606,454.69,0.81
917504,-0.2962084,436.71,0.86
933888,-0.22470738,430.8,0.89
950272,0.22144563,382.55,0.94
966656,0.21324594,380.33,0.92
983040,0.1851951,383.54,0.92
999424,0.376796,363.97,0.94
1015808,0.028093243,400.45,0.9
1032192,-0.12790753,417.12,0.88
1048576,0.2949447,367.03,0.9
1064960,0.5245453,337.35,0.9
1081344,0.6012466,333.23,0.92
1097728,0.39984557,357.69,0.9
1114112,0.005394291,404.42,0.87
1130496,-0.56650877,467.57,0.8
1146880,-0.20890838,423.38,0.82
1163264,0.29724494,368.18,0.89
1179648,0.4424969,355.54,0.92
1196032,0.23839542,378.41,0.89
1212416,0.47074664,355.69,0.93
1228800,0.5382979,350.31,0.96
1245184,0.66344756,335.05,0.97
1261568,0.4709959,359.01,0.94
1277952,0.5995956,339.34,0.92
1294336,0.9184477,301.48,0.94
1310720,0.9569477,295.66,0.94
1327104,0.9938485,293.4,0.96
1343488,0.92394865,302.75,0.96
1359872,0.793547,312.87,0.92
1376256,0.9042468,296.53,0.91
1392640,0.79424673,310.6,0.92
1409024,0.9997969,282.88,0.93
1425408,1.1259974,270.37,0.94
1441792,1.1340486,274.64,0.96
1458176,0.98704755,290.25,0.94
1474560,0.5821962,340.1,0.91
1490944,0.8120972,312.6,0.94
1507328,0.8313462,304.3,0.93
1523712,1.1600984,268.48,0.96
1540096,1.2464994,260.27,0.97
1556480,0.60629416,326.15,0.89
1572864,0.33364254,354.07,0.85
1589248,0.7187461,316.31,0.89
1605632,0.74694586,316.15,0.91
1622016,0.71634483,315.36,0.91
1638400,0.5347937,330.1,0.87
1654784,0.8979461,293.43,0.92
1671168,0.9206478,298.04,0.95
1687552,1.1449493,275.42,0.97
1703936,1.1722481,267.92,0.94
1720320,1.1584985,271.07,0.95
1736704,1.1380979,273.82,0.96
1753088,1.1873484,266.77,0.97
1769472,0.7896977,317.74,0.94
1785856,0.9350971,296.09,0.92
1802240,1.485999,229.77,0.97
1818624,1.4593495,236.88,0.98
1835008,1.3993994,242.38,0.97
1851392,1.1050481,276.3,0.95
1867776,1.0750979,281.17,0.94
1884160,1.3123991,254.23,0.97
1900544,1.6365502,214.77,1.0
1916928,1.7462002,199.58,0.99
1933312,1.4182986,238.0,0.96
1949696,1.3961487,243.71,0.98
1966080,1.1599983,273.0,0.97
1982464,0.8491971,307.74,0.94
1998848,0.95844793,293.09,0.94
