step,return,length,success
49152,-2.1900198,693.0,1.0
65536,-6.097878,988.890625,0.0625
81920,-5.849533,963.0757575757576,0.09090909090909091
98304,-5.6785173,947.5441176470588,0.11764705882352941
114688,-5.6923804,948.304347826087,0.11594202898550725
131072,-6.0877185,970.38,0.06
147456,-6.0102677,961.12,0.07
163840,-5.769666,938.81,0.11
180224,-5.722665,936.83,0.12
196608,-6.1231203,963.71,0.08
212992,-5.940417,948.86,0.1
229376,-5.881417,943.2,0.11
245760,-5.7858653,938.71,0.13
262144,-6.0703173,975.0,0.05
278528,-6.019917,967.49,0.06
294912,-5.8865156,954.27,0.09
311296,-5.883115,954.27,0.09
327680,-6.209368,979.12,0.05
344064,-6.034467,964.66,0.07
360448,-5.9353156,954.61,0.09
376832,-5.8491645,943.06,0.12
393216,-6.077467,962.39,0.1
409600,-5.9857655,955.81,0.12
425984,-5.8851147,947.59,0.14
442368,-5.8232646,941.01,0.17
458752,-6.1793694,976.9,0.1
475136,-6.0344167,964.84,0.11
491520,-5.908515,957.57,0.13
507904,-5.8507147,948.94,0.15
524288,-6.027618,961.89,0.1
540672,-5.8953657,947.23,0.11
557056,-5.7819643,934.21,0.13
573440,-5.9026155,943.4,0.13
589824,-6.0767674,959.3,0.09
606208,-6.0419664,954.9,0.1
622592,-6.0756164,954.9,0.1
638976,-6.2541184,968.67,0.08
655360,-6.485622,993.22,0.04
671744,-6.077316,959.71,0.09
688128,-5.8878636,944.69,0.12
704512,-5.814413,944.42,0.12
720896,-5.6659617,933.39,0.15
737280,-5.3814583,919.72,0.18
753664,-5.378858,919.72,0.18
770048,-5.8623643,958.39,0.11
786432,-5.892215,961.04,0.1
802816,-5.9312663,963.53,0.11
819200,-5.8572164,956.75,0.12
835584,-5.8630157,954.63,0.11
851968,-5.9229145,962.35,0.1
868352,-5.946966,962.35,0.1
884736,-5.696463,944.63,0.14
901120,-5.754013,960.28,0.11
917504,-5.816263,967.68,0.1
933888,-5.923965,963.41,0.09
950272,-6.042517,969.21,0.08
966656,-5.9302144,961.98,0.1
983040,-5.8346143,953.52,0.11
999424,-5.761963,946.69,0.13
1015808,-5.7676153,946.54,0.14
1032192,-5.744764,947.24,0.14
1048576,-5.759465,948.8,0.14
1064960,-5.673963,940.22,0.17
1081344,-5.7822633,954.97,0.17
1097728,-5.6783113,950.66,0.2
1114112,-5.55676,941.15,0.21
1130496,-5.401958,932.82,0.23
1146880,-5.3769574,932.02,0.22
1163264,-5.54126,941.35,0.18
1179648,-5.7043624,947.16,0.15
1196032,-5.7303624,947.82,0.13
1212416,-5.921615,957.48,0.11
1228800,-6.2392693,971.31,0.09
1245184,-6.4326735,982.51,0.06
1261568,-6.309172,971.39,0.08
1277952,-6.2783203,967.72,0.09
1294336,-6.4040723,974.9,0.08
1310720,-6.355072,975.19,0.07
1327104,-6.298871,977.01,0.07
1343488,-6.25292,973.52,0.07
1359872,-6.1958685,974.84,0.07
1376256,-6.1644664,969.21,0.08
1392640,-6.102467,961.61,0.09
1409024,-5.815213,944.69,0.14
1425408,-5.7107615,938.76,0.17
1441792,-5.680061,935.92,0.19
1458176,-5.725313,941.56,0.18
1474560,-5.7598653,947.68,0.17
1490944,-5.6111107,935.16,0.18
1507328,-5.8599644,951.25,0.14
1523712,-5.8445644,951.44,0.13
1540096,-5.8839135,954.85,0.11
1556480,-5.7504625,940.79,0.12
1572864,-5.633761,934.34,0.16
1589248,-5.7616124,948.86,0.14
1605632,-5.7056623,945.02,0.15
1622016,-5.791112,947.7,0.15
1638400,-5.8133144,943.67,0.16
1654784,-5.8717136,949.49,0.16
1671168,-5.7835126,943.87,0.17
1687552,-5.780515,942.2,0.16
1703936,-5.7811646,942.29,0.15
1720320,-5.6343117,939.5,0.17
1736704,-5.490759,935.8,0.19
1753088,-5.7477636,947.57,0.14
1769472,-5.7059627,937.2,0.15
1785856,-5.6629114,929.55,0.16
1802240,-5.565061,918.01,0.18
1818624,-5.5682616,915.66,0.17
1835008,-5.5944614,923.77,0.15
1851392,-5.47186,921.62,0.17
1867776,-5.6428614,944.24,0.14
1884160,-5.6799126,951.87,0.12
1900544,-5.767713,956.15,0.11
1916928,-5.781314,956.65,0.11
1933312,-6.0429664,977.14,0.06
1949696,-5.8952656,963.82,0.09
1966080,-5.9381647,966.55,0.09
1982464,-5.866112,963.69,0.11
1998848,-5.8108616,958.81,0.13
2015232,-5.8130627,962.04,0.14
2031616,-5.6670604,947.9,0.17
2048000,-5.8330626,959.38,0.15
2064384,-5.887815,960.33,0.14
2080768,-5.9363146,962.21,0.12
2097152,-5.9392147,965.76,0.1
2113536,-6.0960164,967.4,0.08
2129920,-6.2228184,979.8,0.06
2146304,-5.985866,961.78,0.08
2162688,-5.9118657,951.87,0.09
2179072,-5.9201164,956.56,0.08
2195456,-5.806214,951.03,0.12
2211840,-5.6683617,948.99,0.14
2228224,-5.59251,946.05,0.17
2244608,-5.621859,952.16,0.16
2260992,-5.650609,963.63,0.16
2277376,-5.749609,964.04,0.14
2293760,-5.6253595,955.04,0.15
2310144,-5.581109,950.25,0.16
2326528,-5.7688594,962.46,0.12
2342912,-5.719009,959.5,0.13
2359296,-5.886012,967.25,0.11
2375680,-5.884813,965.89,0.12
2392064,-6.037315,980.9,0.09
2408448,-6.1219664,979.78,0.08
2424832,-6.135769,978.45,0.08
2441216,-6.029618,969.42,0.1
2457600,-5.993317,969.72,0.09
2473984,-5.946366,970.37,0.09
2490368,-6.0192165,975.15,0.09
2506752,-5.871763,966.03,0.1
2523136,-5.959713,974.69,0.09
2539520,-5.934512,976.94,0.09
2555904,-5.7595587,957.0,0.13
2572288,-5.6908092,949.12,0.13
2588672,-5.6599097,949.12,0.13
2605056,-5.8100123,957.28,0.11
2621440,-5.711861,946.75,0.12
2637824,-5.7145624,949.52,0.1
2654208,-5.7378635,952.64,0.09
2670592,-5.7286625,951.49,0.09
2686976,-5.6389613,942.76,0.11
2703360,-5.666212,946.15,0.1
2719744,-5.6406612,944.6,0.12
2736128,-5.7780128,955.76,0.12
2752512,-5.672461,951.66,0.14
2768896,-5.719912,951.42,0.14
2785280,-5.6358604,954.7,0.16
2801664,-5.44296,939.7,0.19
2818048,-5.5047603,946.75,0.15
2834432,-5.3142076,931.59,0.17
2850816,-5.3732586,935.79,0.16
2867200,-5.3493567,941.43,0.15
2883584,-5.5163074,951.61,0.11
2899968,-5.4697566,947.05,0.12
2916352,-5.533458,945.73,0.14
2932736,-5.758961,957.08,0.12
2949120,-5.9119616,963.96,0.11
2965504,-5.9047127,961.74,0.12
2981888,-6.0649166,968.63,0.11
2998272,-6.1488175,968.99,0.1
3014656,-6.0767665,966.52,0.11
3031040,-6.020866,963.84,0.12
3047424,-6.001465,966.93,0.12
3063808,-5.9990635,967.07,0.12
3080192,-5.8125114,954.33,0.15
3096576,-5.7733607,952.41,0.16
3112960,-5.71136,944.79,0.16
3129344,-5.789812,950.07,0.14
3145728,-5.6313105,924.87,0.17
3162112,-5.4125586,907.19,0.2
3178496,-5.532859,927.21,0.16
3194880,-5.4720073,923.85,0.16
3211264,-5.4694576,919.79,0.15
3227648,-5.5152593,928.68,0.13
3244032,-5.685061,951.39,0.09
3260416,-5.7924123,958.73,0.09
3276800,-5.849014,957.08,0.1
3293184,-5.7911634,955.61,0.11
3309568,-5.939514,968.78,0.1
3325952,-5.8223615,964.48,0.13
3342336,-5.9612627,969.34,0.11
3358720,-5.948013,969.84,0.11
3375104,-5.9701633,968.77,0.1
3391488,-5.8500123,969.61,0.1
3407872,-5.8580127,969.08,0.09
3424256,-5.8140125,965.05,0.11
3440640,-5.9291644,965.92,0.1
3457024,-5.780363,954.58,0.13
3473408,-5.9582157,970.48,0.1
3489792,-5.9430647,965.75,0.1
3506176,-6.1482177,961.71,0.1
3522560,-6.1473193,952.34,0.1
3538944,-6.090369,951.02,0.1
3555328,-6.0177183,941.46,0.12
3571712,-6.075819,948.68,0.1
3588096,-6.017618,949.47,0.1
3604480,-5.939318,949.47,0.1
3620864,-5.804465,947.31,0.11
3637248,-5.9700665,973.95,0.07
3653632,-5.9835668,979.11,0.06
3670016,-5.724912,957.3,0.1
3686400,-5.7595134,961.57,0.1
3702784,-5.6799636,957.55,0.12
3719168,-5.7476134,955.14,0.11
3735552,-5.776014,955.55,0.1
3751936,-5.8596654,959.85,0.12
3768320,-6.0059667,977.98,0.1
3784704,-5.7809124,956.41,0.13
3801088,-5.496958,933.24,0.18
3817472,-5.3483076,921.77,0.21
3833856,-5.3438573,918.59,0.22
3850240,-5.357558,915.17,0.19
3866624,-5.0810037,893.48,0.24
3883008,-5.213905,910.92,0.2
3899392,-5.3442554,924.77,0.18
3915776,-5.439556,940.01,0.16
3932160,-5.3771553,933.52,0.17
3948544,-5.423307,937.45,0.17
3964928,-5.6190596,951.35,0.16
3981312,-5.69491,958.1,0.15
3997696,-5.5680103,942.56,0.19
4014080,-5.3250065,922.39,0.22
4030464,-5.2956567,925.16,0.22
4046848,-5.1452546,918.23,0.23
4063232,-4.873901,891.14,0.28
4079616,-4.8362494,897.53,0.27
4096000,-4.7670984,896.16,0.29
4112384,-5.015801,915.22,0.25
4128768,-5.152102,923.89,0.24
4145152,-5.2115526,934.27,0.23
4161536,-5.301855,942.09,0.21
4177920,-5.2046537,925.56,0.23
4194304,-5.2851048,927.39,0.21
4210688,-5.0959535,916.21,0.24
4227072,-4.868001,887.86,0.28
4243456,-4.7146473,876.35,0.31
4259840,-4.736898,870.97,0.31
4276224,-4.552545,852.73,0.33
4292608,-4.4003925,840.48,0.37
4308992,-4.615444,856.73,0.33
4325376,-4.606395,847.02,0.33
4341760,-4.551193,844.67,0.35
4358144,-4.619095,847.21,0.36
4374528,-4.826497,857.66,0.33
4390912,-4.604296,836.86,0.36
4407296,-5.0255504,873.58,0.29
4423680,-5.128603,872.12,0.27
4440064,-5.461657,897.58,0.23
4456448,-5.624861,916.16,0.2
4472832,-5.766112,936.68,0.16
4489216,-5.8784623,947.21,0.15
4505600,-5.70776,939.57,0.19
4521984,-5.68781,949.0,0.17
4538368,-5.5285063,935.13,0.19
4554752,-5.2463055,906.13,0.23
4571136,-5.2469554,907.65,0.23
4587520,-5.1932554,896.08,0.24
4603904,-5.2767057,899.86,0.23
4620288,-5.3944573,906.46,0.21
4636672,-5.6126614,922.11,0.18
4653056,-5.7981625,943.89,0.18
4669440,-5.690062,933.21,0.2
4685824,-5.6898127,935.63,0.21
4702208,-5.53806,934.52,0.22
4718592,-5.3339562,920.08,0.26
4734976,-5.1437035,897.57,0.25
4751360,-5.055403,880.74,0.26
4767744,-4.9415526,873.13,0.28
4784128,-4.783552,854.22,0.3
4800512,-4.655802,840.05,0.31
4816896,-4.8031526,853.34,0.3
4833280,-4.793001,865.77,0.32
4849664,-4.9886527,886.0,0.29
4866048,-4.889802,872.43,0.3
4882432,-5.138753,898.39,0.27
4898816,-4.906051,876.96,0.31
4915200,-4.8827,873.26,0.32
4931584,-4.8693995,874.61,0.32
4947968,-4.8412995,874.54,0.34
4964352,-4.83335,874.36,0.35
4980736,-4.790449,874.13,0.37
4997120,-5.0405025,898.6,0.34
5013504,-5.238805,909.04,0.3
5029888,-5.302356,914.71,0.28
5046272,-4.9916515,884.79,0.3
5062656,-5.1360054,892.46,0.25
5079040,-5.0370045,882.36,0.26
5095424,-5.061455,883.92,0.23
5111808,-5.0083528,881.38,0.25
5128192,-5.281158,901.45,0.22
5144576,-5.1019554,881.46,0.25
5160960,-5.069004,882.78,0.26
5177344,-5.052203,881.66,0.26
5193728,-5.3207073,898.2,0.21
5210112,-5.4129076,901.47,0.19
5226496,-5.351107,900.69,0.2
5242880,-5.593109,925.86,0.17
5259264,-5.648712,929.21,0.16
5275648,-5.5442095,926.91,0.17
5292032,-5.220004,907.35,0.24
5308416,-5.321605,914.42,0.23
5324800,-5.039302,885.92,0.29
5341184,-5.0351024,882.37,0.29
5357568,-4.9339995,871.34,0.32
5373952,-5.021351,878.5,0.28
5390336,-5.015951,882.6,0.29
5406720,-4.9382997,873.85,0.31
5423104,-5.333004,909.41,0.23
5439488,-5.392356,918.82,0.21
5455872,-5.504657,928.96,0.2
5472256,-5.601209,935.35,0.19
5488640,-5.567309,931.12,0.2
5505024,-5.709211,948.65,0.16
5521408,-5.4518085,931.02,0.21
5537792,-5.4387074,932.37,0.21
5554176,-5.3259063,919.77,0.21
5570560,-5.219603,914.14,0.2
5586944,-5.044052,891.21,0.24
5603328,-4.658749,852.28,0.3
5619712,-4.773901,853.81,0.28
5636096,-4.8812013,865.86,0.27
5652480,-4.986653,868.35,0.26
5668864,-4.934102,856.73,0.26
5685248,-5.037302,871.21,0.25
5701632,-5.1629534,885.82,0.23
5718016,-4.891902,861.26,0.27
5734400,-4.8772516,860.74,0.29
5750784,-4.8175006,861.18,0.31
5767168,-4.7907996,859.1,0.3
5783552,-4.673299,842.69,0.34
5799936,-4.767349,852.91,0.34
5816320,-4.6857486,840.48,0.36
5832704,-4.5730486,831.02,0.38
5849088,-4.4180965,823.86,0.42
5865472,-4.483847,828.49,0.4
5881856,-4.4207964,829.38,0.4
5898240,-4.321095,821.05,0.39
5914624,-4.6246476,843.81,0.34
5931008,-4.6781487,848.54,0.33
5947392,-4.9935536,873.92,0.27
5963776,-5.1895046,883.28,0.23
5980160,-5.2813063,883.76,0.23
5996544,-5.1371045,877.29,0.25
6012928,-5.0426044,867.85,0.27
6029312,-5.305707,890.31,0.23
6045696,-5.3083563,893.43,0.21
6062080,-5.319706,900.07,0.22
6078464,-5.427406,913.97,0.19
6094848,-5.5382085,918.59,0.16
6111232,-5.5063586,916.48,0.17
6127616,-5.4507084,910.55,0.18
6144000,-5.355408,905.82,0.21
6160384,-5.3318086,909.17,0.23
6176768,-5.1721044,896.42,0.26
6193152,-4.998153,885.03,0.3
6209536,-4.8100996,881.11,0.35
6225920,-4.8935013,894.68,0.31
6242304,-4.9230003,900.37,0.29
6258688,-4.9452004,906.81,0.3
6275072,-5.1514025,933.96,0.25
6291456,-5.0948534,928.78,0.23
6307840,-4.924801,909.61,0.28
6324224,-4.755399,888.34,0.33
6340608,-4.758898,889.51,0.32
6356992,-4.3452926,846.75,0.38
6373376,-4.073839,822.16,0.42
6389760,-4.0298386,824.12,0.43
6406144,-3.8420367,803.1,0.43
6422528,-3.416833,762.98,0.49
6438912,-3.4886336,768.4,0.49
6455296,-3.4756331,768.49,0.51
6471680,-3.4746332,755.49,0.48
6488064,-3.9612372,808.48,0.43
6504448,-4.0485888,812.88,0.41
6520832,-3.8915875,801.5,0.45
6537216,-3.939189,804.09,0.43
