step,return,length,success
32768,-0.034997653,440.0,1.0
49152,-0.22666526,472.6666666666667,1.0
65536,-6.1572537,971.9375,0.078125
81920,-6.1572537,971.9375,0.078125
98304,-6.186506,972.7878787878788,0.07575757575757576
114688,-6.1707387,973.1940298507462,0.07462686567164178
131072,-6.4048705,1000.0,0.0
147456,-6.4048705,1000.0,0.0
163840,-6.3035197,994.05,0.01
180224,-6.252019,990.12,0.02
196608,-5.9698644,989.82,0.03
212992,-5.802713,974.38,0.05
229376,-5.802262,974.38,0.05
245760,-5.7661614,972.42,0.06
262144,-5.8275623,982.6,0.03
278528,-5.812811,982.6,0.03
294912,-5.7311096,980.37,0.05
311296,-5.518856,970.14,0.09
327680,-5.7366576,987.54,0.06
344064,-5.727508,987.54,0.06
360448,-5.706007,987.54,0.06
376832,-5.7341566,987.54,0.06
393216,-5.96421,999.56,0.01
409600,-5.9717607,999.56,0.01
425984,-5.9400096,999.56,0.01
442368,-5.901009,998.26,0.02
458752,-5.87131,998.7,0.01
475136,-5.806959,991.77,0.02
491520,-5.83011,991.77,0.02
507904,-5.83531,991.77,0.02
524288,-6.0267625,993.07,0.01
540672,-6.0412126,993.07,0.01
557056,-6.0638137,993.07,0.01
573440,-6.025064,991.59,0.03
589824,-6.1913147,998.52,0.02
606208,-6.1926656,998.52,0.02
622592,-6.187715,998.52,0.02
638976,-6.1325645,998.52,0.02
655360,-6.0681133,995.07,0.01
671744,-6.013862,989.43,0.02
688128,-5.997312,989.43,0.02
704512,-5.928661,987.17,0.03
720896,-5.9115605,987.17,0.03
737280,-5.9497614,987.17,0.03
753664,-5.9719124,987.17,0.03
770048,-5.9659634,1000.0,0.0
786432,-5.9835615,1000.0,0.0
802816,-5.9492126,994.06,0.01
819200,-5.9452624,994.06,0.01
835584,-5.817259,994.06,0.01
851968,-5.833509,994.06,0.01
868352,-5.820059,994.06,0.01
884736,-5.857359,994.06,0.01
901120,-5.9163604,1000.0,0.0
917504,-5.884709,998.3,0.01
933888,-5.7686086,988.31,0.03
950272,-5.737158,987.07,0.04
966656,-5.6697063,987.07,0.04
983040,-5.507954,973.54,0.06
999424,-5.327351,962.45,0.08
1015808,-5.3395033,962.45,0.08
1032192,-5.370002,975.02,0.06
1048576,-5.2132,965.64,0.08
1064960,-5.1450996,958.64,0.1
1081344,-5.1244493,958.64,0.1
1097728,-5.3785515,980.25,0.05
1114112,-5.3052998,973.55,0.06
1130496,-5.139899,956.85,0.09
1146880,-4.9987965,949.98,0.12
1163264,-5.1432977,966.36,0.08
1179648,-4.9837966,956.85,0.1
1196032,-4.712944,933.52,0.16
1212416,-4.5636916,921.72,0.19
1228800,-4.7241926,941.62,0.15
1245184,-4.5348406,926.93,0.18
1261568,-4.178836,899.42,0.24
1277952,-4.106584,900.9,0.27
1294336,-4.356085,929.39,0.21
1310720,-4.0297823,896.46,0.28
1327104,-3.9770823,887.72,0.28
1343488,-3.930881,896.15,0.3
1359872,-3.976483,889.42,0.26
1376256,-3.7677817,868.68,0.29
1392640,-4.0096855,884.4,0.24
1409024,-4.137785,903.37,0.21
1425408,-4.2628374,907.55,0.2
1441792,-4.1162353,891.25,0.23
1458176,-4.332037,913.27,0.2
1474560,-4.403036,920.19,0.21
1490944,-4.260035,901.53,0.25
1507328,-4.396437,913.39,0.23
1523712,-4.449637,920.62,0.2
1540096,-4.4574866,928.4,0.22
1556480,-4.599938,941.43,0.19
1572864,-4.434587,927.43,0.2
1589248,-4.478437,936.54,0.2
1605632,-4.5129857,946.44,0.18
1622016,-4.4167366,934.61,0.21
1638400,-4.493787,942.26,0.18
1654784,-4.3214345,932.58,0.21
1671168,-4.4394855,939.82,0.18
1687552,-4.2699337,933.97,0.19
1703936,-4.133333,915.86,0.22
1720320,-4.237384,926.64,0.18
1736704,-4.1450334,911.62,0.2
1753088,-4.217083,923.73,0.18
1769472,-3.7822306,881.28,0.3
1785856,-3.6615794,868.16,0.35
1802240,-3.4529266,850.96,0.38
1818624,-3.1966746,831.31,0.44
1835008,-3.2905254,840.73,0.43
1851392,-3.5671277,864.17,0.35
1867776,-3.7486298,878.4,0.32
1884160,-3.7132788,875.06,0.32
1900544,-3.7998807,880.47,0.29
1916928,-3.947432,890.8,0.26
1933312,-3.72233,865.26,0.31
1949696,-3.7467806,872.14,0.3
1966080,-3.8217807,881.51,0.28
1982464,-3.9138825,884.55,0.27
1998848,-3.9044824,885.74,0.27
2015232,-3.9646826,891.49,0.27
2031616,-3.9810324,893.47,0.25
2048000,-3.956832,886.09,0.25
2064384,-3.9536812,895.51,0.24
2080768,-3.9407818,895.07,0.26
2097152,-3.81033,883.15,0.28
2113536,-3.8803816,891.24,0.27
2129920,-3.732532,868.53,0.31
2146304,-3.737833,862.53,0.31
2162688,-3.7563825,868.33,0.31
2179072,-3.9069335,885.99,0.28
2195456,-3.8025324,879.51,0.3
2211840,-4.0918345,907.37,0.26
2228224,-4.126884,913.27,0.24
2244608,-4.2450843,930.23,0.22
2260992,-4.207985,921.18,0.2
2277376,-4.1484337,918.09,0.21
2293760,-3.9748325,902.84,0.23
2310144,-3.8230798,898.62,0.26
2326528,-3.7924304,884.09,0.26
2342912,-3.7400296,880.17,0.28
2359296,-3.7893798,882.52,0.28
2375680,-4.0003815,899.15,0.25
2392064,-4.2495356,913.43,0.22
2408448,-4.020233,894.34,0.27
2424832,-3.951933,889.56,0.28
2441216,-4.031433,901.57,0.27
2457600,-4.044083,900.62,0.26
2473984,-3.7997806,882.72,0.29
2490368,-3.8223302,882.35,0.3
2506752,-3.9677813,898.15,0.27
2523136,-4.045882,906.96,0.28
2539520,-3.9637327,891.52,0.29
2555904,-4.121684,913.34,0.26
2572288,-4.070234,905.96,0.27
2588672,-4.073883,908.75,0.26
2605056,-4.1405334,920.04,0.22
2621440,-4.3138347,933.01,0.18
2637824,-4.382185,942.41,0.15
2654208,-4.4483852,946.62,0.14
2670592,-4.552237,954.93,0.11
2686976,-4.5380363,958.42,0.12
2703360,-4.505586,952.96,0.13
2719744,-4.4338856,946.71,0.16
2736128,-4.245835,924.57,0.2
2752512,-4.203835,915.56,0.2
2768896,-3.9314826,890.25,0.25
2785280,-4.0604835,902.54,0.22
2801664,-3.6404803,861.59,0.28
2818048,-3.6594803,869.53,0.27
2834432,-3.5542295,854.64,0.27
2850816,-3.8138318,880.92,0.23
2867200,-3.4884303,846.72,0.28
2883584,-3.6697814,863.17,0.25
2899968,-3.6547308,863.24,0.25
2916352,-3.8350823,883.09,0.24
2932736,-3.7740312,875.04,0.24
2949120,-3.8729305,885.57,0.22
2965504,-4.0417814,903.71,0.19
2981888,-4.123781,918.37,0.19
2998272,-3.9884293,912.14,0.2
3014656,-3.960231,901.28,0.21
3031040,-3.997882,905.56,0.22
3047424,-3.9777822,901.3,0.23
3063808,-3.9658823,897.71,0.23
3080192,-4.1876354,905.63,0.2
3096576,-4.0330834,895.05,0.22
3112960,-4.206434,913.43,0.2
3129344,-4.040433,892.87,0.23
3145728,-4.108484,893.82,0.23
3162112,-4.229585,899.23,0.22
3178496,-4.2451344,893.95,0.22
3194880,-4.518388,910.38,0.19
3211264,-4.6693897,921.38,0.16
3227648,-4.588088,912.84,0.17
3244032,-4.4369373,899.7,0.21
3260416,-4.366336,905.9,0.2
3276800,-4.276535,910.34,0.2
3293184,-4.3246865,903.72,0.22
3309568,-4.2201357,896.42,0.23
3325952,-4.2958355,906.36,0.21
3342336,-4.373286,914.45,0.22
3358720,-4.412836,922.51,0.21
3375104,-4.2288833,910.05,0.24
3391488,-4.2430816,925.45,0.22
3407872,-4.3968325,942.03,0.18
3424256,-4.4317327,947.97,0.17
3440640,-4.2314305,939.52,0.19
3457024,-4.0537806,916.79,0.2
3473408,-4.0589805,916.53,0.2
3489792,-3.8952289,907.7,0.22
3506176,-3.8529289,904.13,0.23
3522560,-4.0386815,915.24,0.2
3538944,-4.074832,914.94,0.18
3555328,-4.0205307,913.98,0.2
3571712,-4.1231823,923.23,0.18
3588096,-4.162584,921.31,0.18
3604480,-3.9162323,896.48,0.22
3620864,-3.7408314,879.13,0.26
3637248,-3.8515818,890.88,0.25
3653632,-3.7988806,891.48,0.25
3670016,-3.6279287,887.61,0.3
3686400,-3.7475793,902.16,0.28
3702784,-3.7507794,904.66,0.28
3719168,-3.8489797,919.32,0.24
3735552,-3.86243,920.9,0.23
3751936,-3.6754792,896.66,0.26
3768320,-3.886881,908.72,0.2
3784704,-3.803631,897.53,0.22
3801088,-4.095433,923.17,0.17
3817472,-4.1344843,927.6,0.19
3833856,-3.9948835,910.0,0.21
3850240,-4.0132833,913.85,0.22
3866624,-3.881881,902.29,0.24
3883008,-3.6089783,876.59,0.28
3899392,-3.4919772,863.88,0.28
3915776,-3.598978,871.69,0.26
3932160,-3.4893272,862.38,0.26
3948544,-3.2748752,844.66,0.29
3964928,-3.0814736,821.48,0.32
3981312,-3.2378263,836.1,0.31
