step,return,length,success
16384,1.595001,203.8,1.0
32768,0.85142976,296.5,1.0
49152,-0.08785867,415.6666666666667,1.0
65536,-3.9040275,792.3623188405797,0.4927536231884058
81920,-3.696685,773.9473684210526,0.5263157894736842
98304,-3.3097267,733.0618556701031,0.5670103092783505
114688,-3.8711395,794.59,0.54
131072,-4.0013404,794.42,0.45
147456,-3.6631863,766.11,0.51
163840,-3.7505872,780.6,0.54
180224,-3.886989,796.04,0.54
196608,-4.1423435,814.44,0.45
212992,-3.7657387,782.53,0.55
229376,-3.9574413,792.75,0.52
245760,-3.858841,778.07,0.52
262144,-4.100593,798.52,0.46
278528,-3.8334877,782.06,0.53
294912,-3.6058855,760.64,0.56
311296,-3.2986321,731.3,0.6
327680,-3.06143,699.79,0.63
344064,-2.7141793,657.05,0.65
360448,-3.1920342,692.86,0.56
376832,-3.6079893,732.39,0.52
393216,-3.6090403,735.34,0.54
409600,-3.783141,757.07,0.53
425984,-3.6474373,743.86,0.58
442368,-2.9916809,690.95,0.67
458752,-3.1165836,705.32,0.66
475136,-3.047332,697.19,0.65
491520,-2.8696308,683.56,0.68
507904,-2.8019319,672.52,0.67
524288,-2.4244769,633.78,0.7
540672,-2.2459257,621.44,0.76
557056,-2.2903776,624.76,0.74
573440,-2.4746778,644.63,0.72
589824,-2.7840803,676.78,0.68
606208,-3.1429331,710.55,0.62
622592,-3.4696856,743.46,0.55
638976,-3.2106845,717.89,0.58
655360,-2.8228302,683.97,0.65
671744,-2.6818292,671.23,0.68
688128,-2.4324763,653.61,0.76
704512,-2.554476,666.01,0.74
720896,-2.7584774,684.05,0.7
737280,-2.9414792,701.15,0.67
753664,-3.1429331,712.1,0.6
770048,-2.8770304,687.42,0.63
786432,-2.8344817,683.68,0.63
802816,-2.5957794,661.28,0.65
819200,-2.317226,633.08,0.69
835584,-2.2115252,622.94,0.71
851968,-2.078421,621.22,0.74
868352,-2.086671,616.78,0.72
884736,-1.9021187,602.24,0.73
901120,-1.5976177,565.52,0.75
917504,-1.4958179,556.66,0.76
933888,-1.4202664,559.3,0.8
