id,length,success,spl
0,850.83,0.27,0.010106027089768672
100000,658.29,0.68,0.04011620932886057
1000000,362.32,0.86,0.0808874523093845
10000000,93.24,1.0,0.2529871659310808
10100000,111.71,0.98,0.24471724704603875
10200000,91.76,1.0,0.269915792250255
10300000,110.19,1.0,0.24199013366159172
10400000,107.9,1.0,0.2406169373338799
10500000,99.07,1.0,0.2465818442368957
10600000,112.26,1.0,0.223874403134542
10700000,111.58,1.0,0.20720938174351836
10800000,120.88,0.99,0.24180851069502993
10900000,91.26,1.0,0.26405449068373593
1100000,346.25,0.9,0.09457218486012031
11000000,95.51,1.0,0.26671784813072097
11100000,92.46,1.0,0.23960312515153429
11200000,97.35,0.99,0.24934743114230798
11300000,103.69,1.0,0.24165423991508117
11400000,102.62,0.99,0.2598302901774856
11500000,93.94,1.0,0.25628070416184323
11600000,104.63,0.99,0.22097234301402072
11700000,118.96,1.0,0.23133236940750293
11800000,108.54,1.0,0.19489560554092708
11900000,95.88,1.0,0.2538058180350708
1200000,318.97,0.91,0.0968932249345677
12000000,96.26,1.0,0.2580001170576588
12100000,88.78,1.0,0.24330469894868642
12200000,101.47,1.0,0.22637793453205016
12300000,105.2,0.99,0.2365878646471128
12400000,112.14,0.99,0.22201673148946074
12500000,97.4,1.0,0.2567211702363458
12600000,107.11,1.0,0.22727684013774418
12700000,91.98,1.0,0.23461624000829986
12800000,105.22,1.0,0.23307988762742105
12900000,104.35,1.0,0.25376199127217136
1300000,339.75,0.9,0.12021452582580011
13000000,108.72,1.0,0.24252291914356724
13100000,100.05,0.99,0.23453192230594
13200000,86.76,1.0,0.25403628187996063
13300000,110.43,1.0,0.22401444595395603
13400000,106.56,1.0,0.22451524390188024
13500000,99.17,1.0,0.23961990078074893
13600000,108.31,0.99,0.25674395797154564
13700000,83.98,1.0,0.2560834309008002
13800000,96.67,1.0,0.24978848437175116
13900000,98.76,1.0,0.2618601699966731
1400000,285.91,0.95,0.09900710973440438
14000000,104.87,0.99,0.2373491117115396
14100000,88.82,0.99,0.27133250782511076
14200000,107.98,1.0,0.2154103554760413
14300000,99.12,1.0,0.24283089610783495
14400000,102.2,1.0,0.22473753525322965
14500000,94.21,1.0,0.2486179602790996
14600000,87.1,1.0,0.26092468316500045
14700000,88.83,1.0,0.26223324060372
14800000,85.23,1.0,0.26899976354385974
14900000,96.16,1.0,0.2275710624362925
1500000,241.28,0.99,0.1188643800725031
15000000,101.63,1.0,0.22353314880785283
15100000,95.85,1.0,0.22483722370110704
15200000,113.29,1.0,0.22088603662241524
15300000,93.66,1.0,0.24342433650136802
15400000,100.59,0.99,0.2563993727481135
15500000,90.74,1.0,0.23064766215211285
15600000,88.77,1.0,0.27010302542684533
15700000,97.79,1.0,0.23525079631693102
15800000,96.5,0.99,0.261058259956668
15900000,96.97,1.0,0.23294305710812072
1600000,270.96,0.99,0.09879521223363227
16000000,102.46,1.0,0.2635408662032125
16100000,92.33,1.0,0.26031019210226153
16200000,103.22,1.0,0.20179280774553746
16300000,97.95,1.0,0.2151969012299128
16400000,87.64,1.0,0.24892045709852062
16500000,97.33,1.0,0.23159391365003346
16600000,97.07,0.99,0.24416875770064825
16700000,102.95,0.99,0.23777140473206582
16800000,92.24,1.0,0.23807945591985355
16900000,84.68,1.0,0.2718280355575916
1700000,223.57,0.98,0.13548267937565972
17000000,102.15,1.0,0.2354231963550011
17100000,95.53,1.0,0.2378962205789086
17200000,107.58,0.99,0.2214591314760654
17300000,99.49,1.0,0.23839191928138403
17400000,102.11,1.0,0.27290136521885894
17500000,91.37,1.0,0.25034033428731073
17600000,86.71,1.0,0.2182751791887376
17700000,103.0,0.99,0.2284913862577377
17800000,114.59,1.0,0.2531571365834839
17900000,100.31,1.0,0.2381523246557575
1800000,203.17,0.97,0.15647701202718445
18000000,92.28,1.0,0.24155926652908838
18100000,91.98,1.0,0.24321447838138713
18200000,95.81,1.0,0.24938592269555465
18300000,97.9,1.0,0.25664448973154214
18400000,81.75,1.0,0.307021372702926
18500000,98.24,1.0,0.2211933932594352
18600000,99.49,1.0,0.23160316109594906
18700000,116.39,1.0,0.21316485561761422
18800000,96.47,0.99,0.26633547515075756
18900000,95.71,1.0,0.23346633522637203
1900000,224.44,0.96,0.157375052000641
19000000,90.6,1.0,0.2446206833518525
19100000,98.68,1.0,0.2627339455007801
19200000,83.68,1.0,0.2646637513321931
19300000,95.07,0.99,0.27237755050525964
19400000,94.14,0.99,0.27290823588380175
19500000,89.9,1.0,0.25915212899497136
19600000,96.42,1.0,0.26771238902278777
19700000,96.72,1.0,0.2508196384050598
19800000,94.64,1.0,0.2581527051620238
19900000,82.48,1.0,0.2685625884779614
200000,751.11,0.48,0.02366946575508633
2000000,241.8,0.97,0.1114763949732376
20000000,92.56,1.0,0.2405087495664552
20100000,96.05,0.99,0.24952647354820243
20200000,83.15,1.0,0.2688302714200786
20300000,85.12,1.0,0.2370599809802597
20400000,88.08,1.0,0.2312274796205559
20500000,89.02,1.0,0.2373901316722079
20600000,94.31,1.0,0.24935655181999639
20700000,88.95,1.0,0.2756970110839871
20800000,86.86,1.0,0.25559931259195173
20900000,87.97,1.0,0.2550843199478506
2100000,246.1,0.95,0.1265846142044721
21000000,85.7,1.0,0.269294680462318
21100000,81.07,1.0,0.2709192185341284
21200000,81.59,1.0,0.25314878466854474
21300000,84.98,1.0,0.25025645209026987
21400000,96.09,1.0,0.24410213775313083
21500000,93.6,1.0,0.24879500823081674
21600000,79.19,1.0,0.29409182187263283
21700000,84.59,1.0,0.2636238779165607
21800000,90.99,1.0,0.2406031553660695
21900000,85.49,1.0,0.24852474269597366
2200000,216.65,0.98,0.1352850516523665
22000000,86.35,1.0,0.27399925435530575
22100000,84.65,1.0,0.24457255212135545
22200000,94.15,0.99,0.2546970263128956
22300000,95.43,0.99,0.2385119036202882
22400000,101.35,1.0,0.251727042632055
22500000,96.28,0.99,0.24567868608745105
22600000,90.52,1.0,0.25335269401455585
22700000,81.5,1.0,0.26651414680011326
22800000,88.49,1.0,0.26353744427132564
22900000,80.52,1.0,0.2720504835358376
2300000,184.07,0.99,0.1511477887292105
23000000,91.1,1.0,0.27097375731378404
23100000,98.38,0.99,0.30637095815749527
23200000,83.49,1.0,0.2506983783415679
23300000,93.85,1.0,0.27632435438748587
23400000,80.64,1.0,0.25597679741538104
23500000,90.6,0.99,0.27277662616962756
23600000,78.79,1.0,0.2943581241419442
23700000,81.38,1.0,0.26925842596439264
23800000,74.48,1.0,0.2750892975632737
23900000,73.41,1.0,0.2830138635405152
2400000,198.08,0.98,0.17050504083408835
24000000,97.59,1.0,0.2794242047944258
24100000,93.7,1.0,0.23719930405556874
24200000,95.77,1.0,0.2492436796412708
24300000,74.35,1.0,0.2819046425720527
24400000,74.78,1.0,0.26972637922181153
24500000,83.83,1.0,0.2932316841392889
24600000,88.9,1.0,0.26848103495695386
24700000,93.91,0.99,0.2520803425420531
24800000,95.93,0.99,0.27039834408376046
24900000,92.39,1.0,0.27988900255673244
2500000,220.01,0.95,0.17127907166577144
2600000,184.66,1.0,0.1562756892645088
2700000,183.85,0.99,0.15339919569688382
2800000,176.13,0.98,0.15133317837704735
2900000,152.26,0.98,0.1962488160426769
300000,590.57,0.67,0.042111139794976805
3000000,144.92,1.0,0.18465219846480832
3100000,173.99,1.0,0.15825759829446565
3200000,132.92,1.0,0.2068813950935788
3300000,153.48,0.99,0.16884586887583752
3400000,148.5,0.99,0.18019249700237736
3500000,148.11,1.0,0.19339710747222671
3600000,168.06,0.99,0.17159449569863913
3700000,115.48,1.0,0.21120981398915312
3800000,124.36,1.0,0.23079248591533882
3900000,135.12,1.0,0.18584571629130156
400000,625.53,0.58,0.03991092023597094
