Wall time,Step,Value
1650456613.7466974,21841856,59.0
1650456688.7178764,22024256,48.0
1650456797.706652,22297408,96.0
1650456858.384959,22442368,100.0
1650456892.6311584,22524800,114.0
1650456938.568685,22635712,33.0
1650456939.1343195,22638080,37.0
1650456964.2011642,22697344,115.0
1650456977.6302474,22731200,88.0
1650456990.2807698,22760768,46.0
1650456997.5217245,22779264,87.0
1650457004.80801,22796672,61.0
1650457005.0571692,22797952,117.0
1650457018.625775,22831616,43.0
1650457024.842147,22846400,44.0
1650457030.0247765,22855808,60.0
1650457084.9210274,22993664,42.0
1650457086.6219316,23002176,74.0
1650457091.6631334,23013440,66.0
1650457110.25297,23059904,54.0
1650457116.4542766,23074240,55.0
1650457135.0054207,23119936,40.0
1650457135.9481175,23124160,20.0
1650457147.858488,23153600,111.0
1650457160.4580493,23183424,12.0
1650457169.1707537,23210048,16.0
1650457186.9407263,23249984,80.0
1650457190.1825879,23264576,110.0
1650457200.29185,23283584,79.0
1650457222.0060787,23340096,118.0
1650457226.998528,23349056,37.0
1650457227.3602226,23350656,38.0
1650457240.971175,23383744,60.0
1650457250.0575895,23410048,23.0
1650457256.3746014,23424896,45.0
1650457261.475952,23433920,38.0
1650457261.807519,23435264,77.0
1650457269.2664046,23455040,22.0
1650457269.5967517,23456896,56.0
1650457275.9592035,23471360,185.0
1650457281.158271,23480960,146.0
1650457298.408059,23526784,66.0
1650457301.6740777,23528256,41.0
1650457304.4974806,23540608,34.0
1650457310.4448693,23553280,39.0
1650457315.3774543,23562112,28.0
1650457321.6156998,23576640,93.0
1650457322.596236,23581056,9.0
1650457323.7706273,23586560,28.0
1650457328.328554,23594432,21.0
1650457330.748234,23604992,58.0
1650457337.2543962,23621248,83.0
1650457343.9387102,23637824,17.0
1650457348.5761938,23645760,23.0
1650457354.7928581,23661312,23.0
1650457362.487097,23683264,62.0
1650457370.0147555,23703488,23.0
1650457370.3789363,23705472,37.0
1650457370.4892182,23705984,62.0
1650457370.5302095,23706176,129.0
1650457370.5764334,23706432,27.0
1650457374.902302,23712448,59.0
1650457376.327522,23718976,10.0
1650457376.3527086,23719168,103.0
1650457377.1803834,23723392,47.0
1650457380.921116,23727040,325.0
1650457382.363638,23734400,99.0
1650457388.1916814,23747712,10.0
1650457394.598065,23763776,33.0
1650457395.452123,23767744,10.0
1650457399.8689876,23774144,36.0
1650457400.3237207,23776192,125.0
1650457400.3538787,23776256,68.0
1650457400.4809608,23776832,64.0
1650457401.0336115,23779008,22.0
1650457401.142784,23779712,21.0
1650457401.3173912,23780480,50.0
1650457401.459591,23781184,46.0
1650457401.6766088,23781952,27.0
1650457407.0987093,23792704,21.0
1650457407.5631592,23795072,52.0
1650457414.7915432,23813888,30.0
1650457415.3276107,23816128,140.0
1650457415.3823621,23816448,25.0
1650457420.8448865,23826880,22.0
1650457421.053052,23827712,23.0
1650457421.417468,23829120,31.0
1650457427.2941837,23840768,40.0
1650457427.5801723,23841920,30.0
1650457427.6214292,23842112,25.0
1650457427.740482,23842688,20.0
1650457428.0006223,23843776,71.0
1650457428.5061264,23845824,41.0
1650457429.0850644,23848128,9.0
1650457429.2137203,23848896,61.0
1650457429.8282835,23851520,28.0
1650457430.2939243,23853440,68.0
1650457434.237437,23857664,31.0
1650457435.5940087,23863808,53.0
1650457436.6076334,23868160,31.0
1650457441.2139363,23876160,22.0
1650457442.9504755,23883968,71.0
1650457442.986969,23884096,64.0
1650457449.1879585,23898432,108.0
1650457449.424567,23899520,36.0
1650457456.8778176,23919104,28.0
1650457460.9121757,23923776,22.0
1650457461.5814185,23926976,19.0
1650457462.7928023,23932160,89.0
1650457467.2487915,23938944,26.0
1650457469.2151752,23947456,37.0
1650457469.9140239,23950464,16.0
1650457470.1656647,23951744,115.0
1650457475.2622066,23960768,23.0
1650457480.6450562,23970304,32.0
1650457481.3482544,23973312,38.0
1650457481.397023,23973568,54.0
1650457481.4115162,23973632,42.0
1650457481.433845,23973696,59.0
1650457481.5447204,23974208,91.0
1650457481.7679868,23975168,123.0
1650457481.8107429,23975360,139.0
1650457482.460857,23978304,25.0
1650457483.9954324,23985472,47.0
1650457489.0855336,23994560,32.0
1650457489.1347585,23994816,14.0
1650457489.2857592,23995456,54.0
1650457490.0520303,23998528,18.0
1650457496.1158285,24011200,40.0
1650457497.135668,24015744,59.0
1650457502.089573,24023872,24.0
1650457503.5902147,24030080,13.0
1650457503.654285,24030336,40.0
1650457504.2514603,24032832,39.0
1650457504.2789733,24032896,19.0
1650457509.0288823,24041024,42.0
1650457511.2793415,24051328,105.0
1650457514.8315017,24053888,29.0
1650457515.0980659,24055232,37.0
1650457517.3379157,24065280,122.0
1650457521.201482,24069248,33.0
1650457521.5752172,24070912,47.0
1650457521.6545258,24071360,41.0
1650457522.477132,24074624,26.0
1650457522.6323633,24075392,47.0
1650457522.6756468,24075520,217.0
1650457523.340794,24078400,31.0
1650457523.3846023,24078528,12.0
1650457524.3182375,24082816,225.0
1650457524.4748666,24083648,46.0
1650457524.6274507,24084352,38.0
1650457528.2163475,24087040,13.0
1650457529.413052,24092800,41.0
1650457530.5090444,24097536,279.0
1650457531.0794532,24100160,35.0
1650457535.0142546,24104000,51.0
1650457535.427023,24105600,23.0
1650457536.1745,24109248,29.0
1650457537.4919243,24114688,38.0
1650457537.5997298,24115264,28.0
1650457541.4074726,24119040,28.0
1650457542.4682481,24123648,7.0
1650457542.6637976,24124544,94.0
1650457547.9351296,24134528,32.0
1650457547.979531,24134720,63.0
1650457547.9944057,24134784,56.0
1650457548.2205465,24135744,106.0
1650457554.9124339,24150720,151.0
1650457554.958813,24150848,17.0
1650457555.264363,24152256,25.0
1650457555.6576726,24154240,53.0
1650457555.7090957,24154432,77.0
1650457555.8795848,24155328,124.0
1650457556.0313041,24156096,57.0
1650457556.2916667,24157248,50.0
1650457557.628131,24163392,109.0
1650457558.3105319,24166336,48.0
1650457561.3637168,24166720,33.0
1650457561.4948893,24167168,65.0
1650457561.900859,24169216,61.0
1650457562.018007,24169664,22.0
1650457562.0692031,24169920,189.0
1650457562.3323119,24171136,162.0
1650457562.4802825,24171776,27.0
1650457562.5384576,24171968,45.0
1650457562.6574013,24172672,49.0
1650457562.7929585,24173248,76.0
1650457562.982348,24174144,15.0
1650457563.5764234,24176896,30.0
1650457564.6142795,24181376,45.0
1650457567.8271048,24182848,45.0
1650457568.0771213,24184064,54.0
1650457568.7625413,24187072,104.0
1650457568.8908453,24187776,114.0
1650457569.034451,24188544,44.0
1650457570.507816,24195008,30.0
1650457570.7127151,24195776,43.0
1650457575.5207484,24203712,47.0
1650457576.1107771,24206144,128.0
1650457577.7982924,24213824,45.0
1650457581.48416,24217792,147.0
1650457581.6098573,24218368,78.0
1650457581.624185,24218432,37.0
1650457581.7881458,24219136,32.0
1650457582.635079,24222848,79.0
1650457582.7119367,24223168,72.0
1650457582.7986317,24223488,86.0
1650457583.1005795,24224832,50.0
1650457583.5570488,24226944,44.0
1650457584.0501547,24228800,34.0
1650457584.220965,24229824,86.0
1650457584.2551165,24230016,33.0
1650457584.4017746,24230528,53.0
1650457584.4445,24230720,32.0
1650457584.6788106,24231744,58.0
1650457588.2119668,24234496,19.0
1650457588.484547,24235712,61.0
1650457588.7844129,24236992,28.0
1650457589.156064,24238976,93.0
1650457589.211064,24239296,20.0
1650457589.8709748,24242368,27.0
1650457590.3923826,24244800,23.0
1650457590.8413963,24247360,28.0
1650457594.062158,24248704,44.0
1650457594.0837142,24248768,40.0
1650457594.2132123,24249408,52.0
1650457594.5450985,24250944,52.0
1650457594.5972078,24251264,63.0
1650457596.1118577,24258624,27.0
1650457597.424771,24263872,73.0
1650457600.683307,24265216,40.0
1650457600.6977196,24265280,30.0
1650457600.7399237,24265472,244.0
1650457600.7986288,24265856,114.0
1650457600.9242375,24266432,32.0
1650457601.217652,24267776,32.0
1650457601.919112,24271168,135.0
1650457602.3295107,24272768,92.0
1650457602.5609374,24273600,115.0
1650457602.831288,24274944,26.0
1650457602.894185,24275264,88.0
1650457603.8413758,24279040,54.0
1650457604.3469987,24280832,139.0
1650457608.8581748,24286912,54.0
1650457608.9060788,24287168,65.0
1650457609.0168989,24287872,34.0
1650457609.0312114,24287936,39.0
1650457609.0689328,24288000,37.0
1650457610.037797,24292288,60.0
1650457610.8266952,24295616,48.0
1650457610.9887145,24296320,22.0
1650457614.4458613,24298112,80.0
1650457615.5210032,24302656,16.0
1650457615.5404863,24302784,22.0
1650457616.3075643,24306432,59.0
1650457616.5418918,24307456,50.0
1650457616.7587407,24308544,94.0
1650457617.9812183,24313600,167.0
1650457617.9955263,24313664,36.0
1650457618.0383368,24313856,40.0
1650457621.3994322,24315712,33.0
1650457622.0159023,24318400,62.0
1650457623.0003648,24322880,139.0
1650457627.915667,24331648,81.0
1650457630.0655646,24341056,22.0
1650457630.1771326,24341504,32.0
1650457630.2421427,24341760,67.0
1650457631.034498,24345280,24.0
1650457631.301846,24346560,65.0
1650457634.536219,24347520,37.0
1650457634.632238,24348032,60.0
1650457634.7073412,24348416,39.0
1650457635.361704,24352128,106.0
1650457635.7848778,24354112,20.0
1650457635.9443088,24354944,64.0
1650457636.5967052,24358144,173.0
1650457636.6912377,24358656,46.0
1650457637.0968363,24360448,112.0
1650457637.2808092,24361344,44.0
1650457637.294897,24361408,57.0
1650457637.35574,24361728,26.0
1650457641.2665012,24365632,10.0
1650457641.3909383,24366208,41.0
1650457641.4130785,24366272,67.0
1650457641.6997128,24367360,35.0
